generic,category,exception,subtype_source,discriminator_label,human_label,template_number
"Usually, pecans have a nutty aroma.",quasidef,"large pecan trees have a sweet, nutty scent",gpt3-cons,1,1.0,5
"Usually, pecans have a nutty aroma.",quasidef,"large pecan trees have a sweet, nutty scent",gpt3-cons,1,1.0,7
"Usually, pecans have a nutty aroma.",quasidef,a pecan tree with ripe pecans have an aroma that can be described as nutty,gpt3-cons,1,1.0,5
"Usually, pecans have a nutty aroma.",quasidef,"small pecan trees have a sweet, nutty smell",gpt3-cons,1,1.0,7
"Usually, pecans have a nutty aroma.",quasidef,"small pecan trees have a sweet, nutty smell",gpt3-cons,1,1.0,5
"Usually, pecans have a hard shell.",quasidef,young pecan trees have a hard outer shell,gpt3-cons,1,1.0,7
"Usually, pecans have a hard shell.",quasidef,young pecan trees have a hard outer shell,gpt3-cons,1,1.0,5
"Usually, pecans have a hard shell.",quasidef,large pecan trees have a hard outer shell,gpt3-cons,1,1.0,7
"Usually, pecans have a hard shell.",quasidef,large pecan trees have a hard outer shell,gpt3-cons,1,1.0,5
"Usually, pecans have a hard shell.",quasidef,small pecan trees have a hard outer shell,gpt3-cons,1,1.0,7
"Usually, pecans can be found in their natural state in the wild.",character,a pecan nut can be found in the wild in North Carolina,gpt3-cons,1,1.0,7
"Usually, pecans can be found in their natural state in the wild.",character,a pecan nut can be found in the wild in North Carolina,gpt3-cons,1,1.0,5
"Usually, pecans can be found in their natural state in the wild.",character,a pecan tree can be found in the wild in North Carolina,gpt3-cons,1,1.0,5
"Usually, pecans can be found in their natural state in the wild.",character,pecan nuts can be found in the wild in North Carolina,gpt3-cons,1,1.0,7
"Usually, pecans can be found in their natural state in the wild.",character,pecan nuts can be found in the wild in North Carolina,gpt3-cons,1,1.0,5
"Usually, natural selection produces organisms that are adapted to their environment.",quasidef,a tree produces a trunk that is adapted to the environment,gpt3-cons,1,0.0,5
"Usually, natural selection produces organisms that are adapted to their environment.",quasidef,a forest produces trees that have adapted to the environment,gpt3-cons,1,0.0,5
"Usually, natural selection produces organisms that are adapted to their environment.",quasidef,an organism produces offspring that are better able to survive in a particular environment,gpt3-cons,1,1.0,7
"Usually, natural selection produces organisms that are adapted to their environment.",quasidef,an organism produces offspring that are better able to survive in a particular environment,gpt3-cons,1,1.0,5
"Usually, natural selection produces organisms that are adapted to their environment.",quasidef,a dragonfly produces a wing that is adapted for flying,gpt3-cons,1,1.0,7
"Usually, natural selection is the process by which organisms adapt to changing environments.",quasidef,a natural selection of the fittest can be the process through which a species adapts to a changing environment,gpt3-cons,1,1.0,5
"Usually, natural selection is the process by which organisms adapt to changing environments.",quasidef,a natural selection of strength is the process by which animals become stronger,gpt3-cons,1,1.0,7
"Usually, natural selection is the process by which organisms adapt to changing environments.",quasidef,a natural selection of strength is the process by which animals become stronger,gpt3-cons,1,1.0,5
"Usually, natural selection is a good thing.",character,a unicellular organism is more likely to survive,gpt3-cons,1,0.0,5
"Usually, natural selection is a good thing.",character,a unicellular organism is more likely to survive,gpt3-cons,1,0.0,7
"Usually, natural selection is a good thing.",character,a multicellular organism is a lot more likely to survive,gpt3-cons,1,0.0,5
"Usually, natural selection is a good thing.",character,a multicellular organism is a lot more likely to survive,gpt3-cons,1,0.0,7
"Usually, natural selection is a good thing.",character,unicellular organisms are very good at surviving in harsh environments,gpt3-cons,1,0.0,7
"Usually, lorries are used to transport goods from one point to another.",quasidef,a small lorry can be used to transport a large quantity of goods,gpt3-cons,1,1.0,5
"Usually, lorries are used to transport goods from one point to another.",quasidef,a small lorry can be used to transport a large quantity of goods,gpt3-cons,1,1.0,7
"Usually, lorries are used to transport goods from one point to another.",quasidef,a small lorry can be used to transport a large amount of goods,gpt3-cons,1,1.0,5
"Usually, lorries are used to transport goods from one point to another.",quasidef,a small lorry can be used to transport a large amount of goods,gpt3-cons,1,1.0,7
"Usually, lorries are used to transport goods from one point to another.",quasidef,big lorries are used to transport heavy goods,gpt3-cons,1,1.0,5
"Usually, insulations are made of a material.",character,fiberglass insulations can be made of fiberglass,gpt3-cons,1,0.0,7
"Usually, insulations are made of a material.",character,a fiberglass insulation can be made of fiberglass,gpt3-cons,1,1.0,7
"Usually, insulations are made of a material.",character,a fiberglass insulation can be made of glass fibers,gpt3-cons,1,1.0,5
"Usually, insulations are made of a material.",character,fiberglass insulations can be made of glass fibers,gpt3-cons,1,1.0,7
"Usually, insulations are made of a material.",character,styrofoam insulations can be made of polystyrene or polyethylene,gpt3-cons,1,1.0,5
"Usually, ice creams have a thick, creamy consistency.",quasidef,a vanilla ice cream have a consistency of cream,gpt3-cons,1,1.0,7
"Usually, ice creams have a thick, creamy consistency.",quasidef,a vanilla ice cream have a consistency of cream,gpt3-cons,1,1.0,5
"Usually, ice creams have a thick, creamy consistency.",quasidef,"raspberry ice creams have a thick, creamy texture",gpt3-cons,1,1.0,5
"Usually, ice creams have a thick, creamy consistency.",quasidef,"raspberry ice creams have a thick, creamy texture",gpt3-cons,1,1.0,7
"Usually, ice creams have a thick, creamy consistency.",quasidef,raspberry ice creams have a thick cream,gpt3-cons,1,1.0,5
"Usually, hotel rooms are equipped with a microwave.",character,a room with a view can be equipped with microwave oven,gpt3-cons,1,1.0,7
"Usually, hotel rooms are equipped with a microwave.",character,a room with a view can be equipped with microwave oven,gpt3-cons,1,1.0,5
"Usually, hotel rooms are equipped with a microwave.",character,a poolside room can be equipped with a microwave oven,gpt3-cons,1,1.0,7
"Usually, hotel rooms are equipped with a microwave.",character,a room with a view can be equipped with microwave ovens,gpt3-cons,1,1.0,5
"Usually, hotel rooms are equipped with a microwave.",character,a room with a view can be equipped with microwave ovens,gpt3-cons,1,1.0,7
"Usually, guns are used in self defense.",invirtue,a semi-automatic handgun can be used in a defensive shooting,gpt3-cons,1,1.0,7
"Usually, guns are used in self defense.",invirtue,a semi-automatic handgun can be used in a defensive shooting,gpt3-cons,1,1.0,5
"Usually, guns are used in self defense.",invirtue,an unholstered gun can be used in a defensive situation,gpt3-cons,1,1.0,5
"Usually, guns are used in self defense.",invirtue,an unholstered gun can be used in a defensive situation,gpt3-cons,1,1.0,7
"Usually, guns are used in self defense.",invirtue,a gun with a laser sight can be used in a home defense situation,gpt3-cons,1,1.0,7
"Usually, detergents have a strong scent.",character,liquid dish detergents have a strong odor,gpt3-cons,1,1.0,5
"Usually, detergents have a strong scent.",character,liquid dish detergents have a strong smell,gpt3-cons,1,1.0,7
"Usually, detergents have a strong scent.",character,liquid dish detergents have a strong smell,gpt3-cons,1,1.0,5
"Usually, detergents have a strong scent.",character,non-phosphate detergents have a strong odor,gpt3-cons,1,1.0,5
"Usually, detergents have a strong scent.",character,non-phosphate detergents have a strong odor,gpt3-cons,1,1.0,7
"Usually, crucifixions have been carried out in public places.",character,many crucifixions have been carried in public squares,gpt3-cons,1,1.0,5
"Usually, crucifixions have been carried out in public places.",character,many crucifixions have been carried out in the streets,gpt3-cons,1,1.0,5
"Usually, crucifixions have been carried out in public places.",character,many crucifixions have been carried out in the streets,gpt3-cons,1,1.0,7
"Usually, crucifixions have been carried out in public places.",character,crucifixes have been carried in the streets,gpt3-cons,1,1.0,7
"Usually, crucifixions have been carried out in public places.",character,crucifixes have been carried in the streets,gpt3-cons,1,1.0,5
"Usually, crockery can be found in the kitchen.",character,crockery with a floral pattern can be found in kitchen cabinets,gpt3-cons,1,1.0,7
"Usually, crockery can be found in the kitchen.",character,crockery with a floral pattern can be found in kitchen cabinets,gpt3-cons,1,1.0,5
"Usually, crockery can be found in the kitchen.",character,cups can be found in most kitchens,cn-cons,1,1.0,5
"Usually, crockery can be found in the kitchen.",character,cups can be found in kitchen cupboards,cn-cons,1,0.0,5
"Usually, compressions should only be performed by trained medical personnel.",character,a compressed should be performed by a trained physician,gpt3-cons,1,1.0,5
"Usually, compressions should only be performed by trained medical personnel.",character,a compressed should be performed by a trained physician,gpt3-cons,1,1.0,7
"Usually, compressions should only be performed by trained medical personnel.",character,compressed air should be performed by a trained physician,gpt3-cons,1,1.0,5
"Usually, compressions should only be performed by trained medical personnel.",character,compressed air should be performed by a trained physician,gpt3-cons,1,1.0,7
"Usually, compressions should only be performed by trained medical personnel.",character,compressed airs should be performed by a trained physician,gpt3-cons,1,0.0,7
"Usually, comets may have a tail.",character,a comet has a comet tail,gpt3-cons,1,1.0,7
"Usually, comets may have a tail.",character,a comet has a comet tail,gpt3-cons,1,1.0,5
"Usually, comets may have a tail.",character,a halley's comet has a comet tail,gpt3-cons,1,1.0,5
"Usually, comets may have a tail.",character,a halley's comet has a comet tail,gpt3-cons,1,1.0,7
"Usually, comets may have a tail.",character,a comet has a bright tail,gpt3-cons,1,1.0,5
"Usually, clocks are synchronized to the second.",character,a digital clock can be synchronized to the seconds,gpt3-cons,1,1.0,5
"Usually, clocks are synchronized to the second.",character,an atomic clock can be synchronized to a second clock,gpt3-cons,1,0.0,7
"Usually, clocks are synchronized to the second.",character,an analog clock can be synchronized to the seconds,gpt3-cons,1,1.0,5
"Usually, clocks are synchronized to the second.",character,a digital clock can be synchronized to one second,gpt3-cons,1,1.0,7
"Usually, clocks are synchronized to the second.",character,a wind-up clock can be synchronized to a second clock,gpt3-cons,1,1.0,5
"Usually, cameras are used to take photos of people.",quasidef,a camera with a viewfinder can be used to take a photo of a person,gpt3-cons,1,1.0,7
"Usually, cameras are used to take photos of people.",quasidef,a camera with a flash can be used to take a photo of a person,gpt3-cons,1,1.0,7
"Usually, cameras are used to take photos of people.",quasidef,a camera with a flash can be used to take a photo,gpt3-cons,1,1.0,7
"Usually, cameras are used to take photos of people.",quasidef,a camera with a flash can be used to take a photo,gpt3-cons,1,1.0,5
"Usually, cameras are used to take photos of people.",quasidef,a camera with a zoom lens is used to take a picture of a person,gpt3-cons,1,1.0,5
"Usually, bumpers are made of metal.",invirtue,a black bumper can be made of black metal,gpt3-cons,1,1.0,5
"Usually, bumpers are made of metal.",invirtue,a bumper sticker can be made of a metal,gpt3-cons,1,0.0,7
"Usually, bumpers are made of metal.",invirtue,a red bumper can be made of stainless steel or aluminum,gpt3-cons,1,1.0,7
"Usually, bumpers are made of metal.",invirtue,a bumpers for a car can be made of a metal,gpt3-cons,1,1.0,7
"Usually, bumpers are made of metal.",invirtue,a bumpers for a car can be made of stainless steel or aluminum,gpt3-cons,1,1.0,7
"Usually, bulldozers are used to clear land to make way for new housing.",invirtue,a dump truck can be used to clear land for a new subdivision,gpt3-cons,1,0.0,5
"Usually, bulldozers are used to clear land to make way for new housing.",invirtue,a front-end loader is used to clear a field,gpt3-cons,1,0.0,5
"Usually, botany can be used to identify plants that are poisonous.",quasidef,a potted plant can be used to identify poisonous mushrooms,gpt3-cons,1,0.0,7
"Usually, botany can be used to identify plants that are poisonous.",quasidef,a potted plant can be used to identify poisonous mushrooms,gpt3-cons,1,0.0,5
"Usually, botany can be used to identify plants that are poisonous.",quasidef,a marigold can be used to determine whether a plant is poisonous,gpt3-cons,1,0.0,7
"Usually, botany can be used to identify plants that are poisonous.",quasidef,a marigold can be used to determine whether a plant is poisonous,gpt3-cons,1,0.0,5
"Usually, botany can be used to identify plants that are poisonous.",quasidef,an african violets can be used to determine whether a plant is poisonous,gpt3-cons,1,0.0,7
"Usually, bleaches may be used to whiten the teeth.",character,a bleach solution can be used to whiten teeth,gpt3-cons,1,1.0,5
"Usually, bleaches may be used to whiten the teeth.",character,a bleach solution can be used to whiten teeth,gpt3-cons,1,1.0,7
"Usually, bleaches may be used to whiten the teeth.",character,non-toxic bleaches are used to whiten teeth,gpt3-cons,1,1.0,5
"Usually, bleaches may be used to whiten the teeth.",character,non-toxic bleaches are used to whiten teeth,gpt3-cons,1,1.0,7
"Usually, bleaches may be used to whiten the teeth.",character,non-toxic bleaches are used to whiten teeth in children,gpt3-cons,1,1.0,5
"Usually, baboons should be left alone in the wild.",quasidef,a large baboon should be left alone in a forest,gpt3-cons,1,1.0,7
"Usually, baboons should be left alone in the wild.",quasidef,a baboon troop should be left alone in a forest,gpt3-cons,1,1.0,7
"Usually, baboons should be left alone in the wild.",quasidef,a large baboon should be left to fend for itself,gpt3-cons,1,1.0,5
"Usually, baboons should be left alone in the wild.",quasidef,a large baboon should be left to fend for itself,gpt3-cons,1,1.0,7
"Usually, baboons should be left alone in the wild.",quasidef,a chimpanzee should be left alone in a jungle,gpt3-cons,1,0.0,5
"Usually, an ovum has been fertilized by a sperm cell.",character,ovules have been fertilized by sperm cells,cn-cons,1,1.0,7
"Usually, an ovum has been fertilized by a sperm cell.",character,a mature ovum has been fertilized by one or more sperm cells,gpt3-cons,1,1.0,5
"Usually, an ovum has been fertilized by a sperm cell.",character,an ovule has been fertilized by a sperm,cn-cons,1,0.0,7
"Usually, an ovum has been fertilized by a sperm cell.",character,an egg has been fertilized by a man's sperm,gpt3-cons,1,1.0,7
"Usually, an ova can be fertilized.",quasidef,an unfertilized ova can be fertilized with a sperm,gpt3-cons,1,1.0,5
"Usually, an ova can be fertilized.",quasidef,an unfertilized ova can be fertilized with a sperm,gpt3-cons,1,1.0,7
"Usually, an ova can be fertilized.",quasidef,a human ova can be fertilized with a man's sperm,gpt3-cons,1,1.0,5
"Usually, an ova can be fertilized.",quasidef,a human ova can be fertilized with a man's sperm,gpt3-cons,1,1.0,7
"Usually, an ova can be fertilized.",quasidef,an unfertilized ovum can be fertilized with a sperm,gpt3-cons,1,1.0,5
"Usually, an ointment should be applied directly to the affected area.",quasidef,an anti-inflammatory ointment should be applied directly to the skin,gpt3-cons,1,1.0,7
"Usually, an ointment should be applied directly to the affected area.",quasidef,an anti-inflammatory ointment should be applied directly to the skin,gpt3-cons,1,1.0,5
"Usually, an ointment should be applied directly to the affected area.",quasidef,an ointment with a pungent scent should be applied directly on the wound,gpt3-cons,1,1.0,7
"Usually, an ointment should be applied directly to the affected area.",quasidef,an ointment with a pungent scent should be applied directly on the wound,gpt3-cons,1,1.0,5
"Usually, an ointment should be applied directly to the affected area.",quasidef,over-the-counter pain relievers should be applied directly to the skin,gpt3-cons,1,1.0,5
"Usually, an ice creams are made from a mixture.",invirtue,"a vanilla ice cream can be made from milk, cream and sugar",gpt3-cons,1,1.0,7
"Usually, an ice creams are made from a mixture.",invirtue,"a vanilla ice cream can be made from vanilla, sugar, and milk",gpt3-cons,1,1.0,7
"Usually, an ice creams are made from a mixture.",invirtue,a strawberry ice cream is made from a mixture of strawberries and cream,gpt3-cons,1,1.0,5
"Usually, an ice creams are made from a mixture.",invirtue,a strawberry ice cream is made from a mixture of strawberries and cream,gpt3-cons,1,1.0,7
"Usually, an ice creams are made from a mixture.",invirtue,a vanilla ice creams can be made from vanilla ice cream,gpt3-cons,1,1.0,5
"Usually, an electrical cord can be found in a drawer.",character,a 3-prong electrical cords can be found in drawers,gpt3-cons,1,1.0,5
"Usually, an electrical connection can be used to charge a battery.",invirtue,a power outlet on the wall can be used to supply a battery with electricity,gpt3-cons,1,1.0,5
"Usually, an electrical connection can be used to charge a battery.",invirtue,a power outlet on the wall can be used to supply a battery with electricity,gpt3-cons,1,1.0,7
"Usually, an electrical connection can be used to charge a battery.",invirtue,a two-prong plug is used to charge a car's battery,gpt3-cons,1,1.0,5
"Usually, an electrical connection can be used to charge a battery.",invirtue,a two-prong plug is used to charge a car's battery,gpt3-cons,1,1.0,7
"Usually, an electrical connection can be used to charge a battery.",invirtue,a three-prong plug is used to charge a car's battery,gpt3-cons,1,1.0,5
"Usually, an arrangement is made with the landlord to pay rent.",character,a living arrangement can be made to pay rent to a landlord,cn-cons,1,1.0,5
"Usually, an arrangement is made with the landlord to pay rent.",character,an alphabetical arrangement is made to pay the landlord,gpt3-cons,1,1.0,7
"Usually, an arrangement is made with the landlord to pay rent.",character,an alphabetical arrangement is made to pay the landlord,gpt3-cons,1,1.0,5
"Usually, an arrangement is made with the landlord to pay rent.",character,an alphabetical arrangement can be made to rent a room in a house,gpt3-cons,1,0.0,7
"Usually, an arrangement is made with the landlord to pay rent.",character,an alphabetical arrangement can be made to rent a room in a house,gpt3-cons,1,0.0,5
"Usually, an apple has to be ripe to be eaten.",invirtue,a red delicious apple must be ripe for consumption,gpt3-cons,1,1.0,5
"Usually, an apple has to be ripe to be eaten.",invirtue,a red delicious apple must be ripe for consumption,gpt3-cons,1,1.0,7
"Usually, an apple has to be ripe to be eaten.",invirtue,a brown apple must be ripe for consumption,gpt3-cons,1,1.0,7
"Usually, an apple has to be ripe to be eaten.",invirtue,a brown apple must be ripe for consumption,gpt3-cons,1,1.0,5
"Usually, an apple has to be ripe to be eaten.",invirtue,a green apple must be ripe for consumption,gpt3-cons,1,1.0,7
"Usually, an advertisement is placed on a website.",character,a commercial can be placed on a newspaper website,cn-cons,1,1.0,5
"Usually, an advertisement is placed on a website.",character,an advertisement for video game can be placed on an internet website,gpt3-cons,1,1.0,7
"Usually, an advertisement is placed on a website.",character,an advertisement for video game can be placed on an internet website,gpt3-cons,1,1.0,5
"Usually, an advertisement is placed on a website.",character,an advertisement for sunglasses can be placed on an online retailer's website,gpt3-cons,1,1.0,7
"Usually, an advertisement is placed on a website.",character,an advertisement for sunglasses can be placed on an online retailer's website,gpt3-cons,1,1.0,5
"Usually, an adventure has a beginning, middle, end.",character,"an adventure in the arctic has a start, middle, and end",gpt3-cons,1,1.0,5
"Usually, an adventure has a beginning, middle, end.",character,"an adventure in the arctic has a start, middle, and end",gpt3-cons,1,1.0,7
"Usually, an adventure has a beginning, middle, end.",character,"a rafting trip has a start, middle, and end",gpt3-cons,1,1.0,7
"Usually, an adventure has a beginning, middle, end.",character,"a rafting trip has a start, middle, and end",gpt3-cons,1,1.0,5
"Usually, an adventure has a beginning, middle, end.",character,"a rafting trip has an beginning, middle, and end",gpt3-cons,1,1.0,5
"Usually, air pollutions are caused by burning fossil fuels.",quasidef,smog can be caused by the burning of coal,gpt3-cons,1,1.0,7
"Usually, air pollutions are caused by burning fossil fuels.",quasidef,smog can be caused by the burning of coal,gpt3-cons,1,1.0,5
"Usually, air pollutions are caused by burning fossil fuels.",quasidef,carbon monoxide pollution can be caused by burning coal,gpt3-cons,1,1.0,7
"Usually, air pollutions are caused by burning fossil fuels.",quasidef,carbon monoxide pollution can be caused by burning coal,gpt3-cons,1,1.0,5
"Usually, air pollutions are caused by burning fossil fuels.",quasidef,carbon monoxide pollution can be caused by the burning of coal,gpt3-cons,1,1.0,7
"Usually, a zebra fish may be found swimming in a tank.",invirtue,a yellow zebra fish can be found in a fish tank,gpt3-cons,1,1.0,7
"Usually, a zebra fish may be found swimming in a tank.",invirtue,a yellow zebra fish can be found in a fish tank,gpt3-cons,1,1.0,5
"Usually, a zebra fish may be found swimming in a tank.",invirtue,a zebra fish with spots can be found in a fish tank,gpt3-cons,1,1.0,5
"Usually, a zebra fish may be found swimming in a tank.",invirtue,a fish of the minnow family can be found in a fish tank,gpt3-cons,1,0.0,7
"Usually, a zebra fish may be found swimming in a tank.",invirtue,a fish of the minnow family can be found in a fish tank,gpt3-cons,1,0.0,5
"Usually, a whisk can be used to stir up the batter.",quasidef,a whisk made of metal can be used to swirl the batter in the bowl,gpt3-cons,1,1.0,5
"Usually, a whisk can be used to stir up the batter.",quasidef,a whisk made of wood can be used to stir batter,gpt3-cons,1,1.0,7
"Usually, a whisk can be used to stir up the batter.",quasidef,a whisk attachment can be used to stir batter,gpt3-cons,1,1.0,5
"Usually, a whisk can be used to stir up the batter.",quasidef,a whisk made of wood can be used to stir up a batter,gpt3-cons,1,1.0,5
"Usually, a whisk can be used to stir up the batter.",quasidef,a whisk made of wood can be used to stir up a batter made of flour,gpt3-cons,1,1.0,7
"Usually, a water park can be a great place to spend an afternoon.",invirtue,a water park with a lazy river is a great place to spend a lazy afternoon,gpt3-cons,1,1.0,5
"Usually, a water park can be a great place to spend an afternoon.",invirtue,a water park with a lazy river is a great place to spend a lazy afternoon,gpt3-cons,1,1.0,7
"Usually, a water park can be a great place to spend an afternoon.",invirtue,a water fun park can be a great place to spend a day,gpt3-cons,1,1.0,7
"Usually, a water park can be a great place to spend an afternoon.",invirtue,a water fun park can be a great place to spend a day,gpt3-cons,1,1.0,5
"Usually, a water park can be a great place to spend an afternoon.",invirtue,a theme park can be a great place to spend a day,gpt3-cons,1,1.0,7
"Usually, a wall fans are used to cool a room by circulating warm air.",invirtue,a stand-up fan can be used to circulate warm air in a room,gpt3-cons,1,0.0,7
"Usually, a wall fans are used to cool a room by circulating warm air.",invirtue,a stand-up fan can be used to circulate warm air in a room,gpt3-cons,1,0.0,5
"Usually, a wall fans are used to cool a room by circulating warm air.",invirtue,a window fan can be used to cool a small room,gpt3-cons,1,0.0,5
"Usually, a wall fans are used to cool a room by circulating warm air.",invirtue,a bathroom fan can be used to cool a bathroom,gpt3-cons,1,0.0,7
"Usually, a wall fans are used to cool a room by circulating warm air.",invirtue,an outdoor wall fan can be used to keep a room at a comfortable temperature,gpt3-cons,1,1.0,5
"Usually, a tennis ball produces a sound.",character,a tennis ball that bounces well produces a loud noise,gpt3-cons,1,1.0,7
"Usually, a tennis ball produces a sound.",character,a tennis ball that is very soft produces a soft sound,gpt3-cons,1,1.0,7
"Usually, a tennis ball produces a sound.",character,a tennis ball that is very soft produces a soft sound,gpt3-cons,1,1.0,5
"Usually, a tennis ball produces a sound.",character,a black tennis ball produces a noise,gpt3-cons,1,1.0,7
"Usually, a tennis ball produces a sound.",character,a soft tennis ball produces a soft noise,gpt3-cons,1,1.0,7
"Usually, a stimulant can be prescribed to treat ADHD in children.",quasidef,amphetamines are prescribed to treat ADHD in children and adolescents,gpt3-cons,1,1.0,5
"Usually, a stimulant can be prescribed to treat ADHD in children.",quasidef,amphetamines are prescribed to treat ADHD in children and adolescents,gpt3-cons,1,1.0,7
"Usually, a stimulant can be prescribed to treat ADHD in children.",quasidef,ritalin is prescribed to treat ADHD in children and adolescents,gpt3-cons,1,1.0,5
"Usually, a stimulant can be prescribed to treat ADHD in children.",quasidef,ritalin is prescribed to treat ADHD in children and adolescents,gpt3-cons,1,1.0,7
"Usually, a stimulant can be prescribed to treat ADHD in children.",quasidef,an amphetamine can be prescribed to children with ADHD,gpt3-cons,1,1.0,7
"Usually, a small computer can consist of a CPU, RAM, hard drive, etc.",quasidef,"a netbook computers consist of the cpu, ram, hard drive, etc",gpt3-cons,1,1.0,7
"Usually, a small computer can consist of a CPU, RAM, hard drive, etc.",quasidef,"a netbook computers consist of the cpu, ram, hard drive",gpt3-cons,1,1.0,5
"Usually, a small computer can consist of a CPU, RAM, hard drive, etc.",quasidef,"a netbook computers consist of the cpu, ram, hard drive",gpt3-cons,1,1.0,7
"Usually, a small computer can consist of a CPU, RAM, hard drive, etc.",quasidef,"a netbook computer consist of the cpu, ram, hard drive",gpt3-cons,1,1.0,5
"Usually, a small computer can consist of a CPU, RAM, hard drive, etc.",quasidef,"a netbook computer consist of the cpu, ram, hard drive",gpt3-cons,1,1.0,7
"Usually, a seed plant produces seed pods.",character,a grass seed plant produces a pod,gpt3-cons,1,1.0,5
"Usually, a seed plant produces seed pods.",character,a grass seed plant produces a pod,gpt3-cons,1,1.0,7
"Usually, a seed plant produces seed pods.",character,a grass seed plant produces a seed pod,gpt3-cons,1,1.0,5
"Usually, a seed plant produces seed pods.",character,a grass seed plant produces a seed pod,gpt3-cons,1,1.0,7
"Usually, a seed plant produces seed pods.",character,a common dandelion flower produces a seed pod,gpt3-cons,1,1.0,7
"Usually, a scene should consist of at least two characters.",character,a movie scene should consist of two or more characters,gpt3-cons,1,1.0,7
"Usually, a scene should consist of at least two characters.",character,a movie scene should consist of two or more characters,gpt3-cons,1,1.0,5
"Usually, a scalpel produces a cut.",quasidef,a surgeon's scalpels produce a cut in the skin,gpt3-cons,1,1.0,7
