sentence1,label
a roof with a skylight can be made of any type of glass,0
a roof with a skylight can be made of different types of glass,1
a roof made of corrugated iron can be made of any type of metal,0
a roof made of corrugated iron can be made of any metal,0
an advertisement is not placed on an Internet site,0
an advertisement is not placed on an internet site,0
an asparagus asparagus asparagus is not placed on the internet,0
an asparagus asparagus asparagus is not placed on a webpage,0
an asparagus asparagus asparagus can not be placed on the internet,0
a black skunk should be left at home,1
a striped skunk should be left at home alone,0
a striped skunk should be left at home,1
a white skunk should be left at home alone,0
a white skunk should be left at home,1
garbage cans should not be used as trash receptacles,0
garbage cans should not be used as storage containers,1
a pile of garbage is not a container,1
a pile of garbage is not a bin,1
an empty garbage can should not be confused with a trash can,0
a shoebox full of cash is a good way of storing items,0
a shoebox with a lid is a good way of storing things,1
a shoebox with a lid is a good way of storing items,1
a shoebox full of cash can be a good way of storing items,0
a shoebox with a handle is a good way of storing items,1
gibberellins are not present in the plant,0
gibberellins are not present in the human body,1
a gibberellin is not present in the plant,0
a gibberellin is not present in plant cells,0
iba (indole-3-butyric acid) is not present in the plant,0
a triage of congestive heart failure can be found in the emergency department of a hospital,1
a triage of congestive heart failure is found in the emergency department of a hospital,0
a triage of congestive heart failure is found in a hospital Emergency Department,0
a triage for a minor injury can be found in the Emergency Department,1
a triage for a serious injury can be found in the emergency department of a hospital,1
a rubber stamp does not produce a physical impression,0
a rubber stamp does not produce any impressions,0
a stamp that isn't worth anything does not produce a good impression,0
a stamp that isn't worth anything does not produce a stamp,0
a stamp from a foreign country do not produce any impressions,0
"a generic, ineffective, over-the-counter dilators are found in drugstores",0
a dilator can be found in the pharmacy,0
a dilator is found in a hospital,1
a dilator with a flared base can be found in a doctor's office,1
a dilator with a flared base can be found in the exam room,0
an aquatic salamander can be found in rivers and lakes,1
long-tailed salamanders can be found in ponds and streams,1
a stamp does not produce an image,0
a stamp does not produce a picture,0
stamps do not produce an image,0
a crocodile is able move through water,1
a sea horse is able walk on land,0
a sea horse is able swim in water,1
crocodiles are able to walk on land,1
crocodiles are able to breathe water,0
front-end loaders are used to lift heavy loads,1
a medium-sized bulldozer is used to demolish buildings,1
front-end loaders can be used to move materials,1
a bulldozer with a towing attachment can be used to tow a vehicle,1
a bulldozer with heavy-duty hydraulics can be used to dig a trench,1
a fire salamander is an amphibian that can live in water,1
long-tailed salamanders are amphibians,1
a large salamander can be found in the water,0
an aquatic salamander is an amphibian that lives in water,1
a fire salamander can be found in the water,0
a gluten-free cookbook should be written for people who don't cook,0
a gluten-free cookbook can be written for anyone who likes to cook,1
a gluten-free cookbook can be written for people who don't,0
gluten-free cookbooks can be written for anyone who likes to cook,1
gourmet cookbooks are written for people who don't cook,0
a bag of garbage is not a container,0
a bag of garbage is not a bag,0
a garbage can can be used as a weapon,0
a garbage can can be used as a container,1
a garbage can is also a tool,0
a baby alligator is a mammal,0
albino alligators are not all that rare,0
albino alligators are not snakes,1
a baby alligator can be raised as a pet,0
a baby alligator can be considered a mammal,0
a non-digital camera do not have an aperture,0
a camera that takes pictures do not have a shutter speed limit,0
a camera that takes pictures do not have a shutter,0
non-digital cameras have a maximum ISO,0
non-digital cameras have a maximum aperture,0
gluten-free cookbooks are written for people who don't,0
a gourmet cookbook can be written for anyone who loves food,1
a gourmet cookbook can be written for anyone who likes to cook,1
a cookbook from your mother-in-law is written for someone who doesn't cook,0
a cookbook from your mother-in-law is written for people who don't cook,0
a dolphin is able to breathe oxygen,1
a dolphin is able to breathe underwater,0
a water-based animal should be able to breath air,0
a water-based animal should be able to breath underwater,0
a shark is able to breathe underwater,1
a professional wrestling match is not a game,0
a professional wrestling match is not a sport,0
a professional wrestling match should not be considered a sport,0
a professional wrestling match should not be seen by children,0
a movie based on a book can be a great experience,1
garbages should not be used as garbage cans,0
garbages should not be confused with trashcans,0
a garbage can is not a container,0
a garbage can is not a place,0
a garbage can should not be considered a container,0
low-carb diets should consist of lots of vegetables and fruits,0
a vegan diet should consist of no animal products,1
a vegan diet should consist of a lot of vegetables,1
a protein diet should consist of complex carbohydrates,0
a protein diet should consist of a mixture of amino acids,0
a die-cut stamp produces an imprint,1
a stamp from a foreign country produce an impression of the foreign country,1
detergents should not be used to clean the hair,1
laundry detergents should not be used to wash hair,1
laundry detergents should not be used to clean the face,1
a swimming pool is a place where you can relax,1
a swimming pool can be a place to relax and have fun,1
a waterpark is a place where you can relax,1
a theme park is a place where people go to have fun,1
water heaters are not equipped with a temperature controller,0
aquatic animals are not able to breathe oxygen,1
aquatic animals are not able to breathe underwater,0
a water-based animal is not able to breathe underwater,0
a chapel should not be located in a school,1
a mausoleum should not be located in the churchyard,1
a mausoleum should not be located in the middle of a city,0
a church should not be located in a house of worship,0
a church should not be located in a churchyard,0
a big lorry can be used to carry goods from a factory to a warehouse,1
a big lorry can be used to move goods from a factory to a warehouse,1
a lorry on the motorway is used to carry goods from a factory to a warehouse,1
a big lorry is used to move goods from a factory to a warehouse,1
small lorries can be used to move goods from a factory to a warehouse,1
a green vegetable can be used as a medicine,0
a green vegetable is used as a medicine,0
a green vegetable is considered a vegetable,1
brussel sprouts can be eaten raw,1
brussel sprouts are used in salads,0
a vaginal dilator can be found in a doctor's office,1
"a generic, ineffective, over-the-counter dilator can be found in most pharmacies",0
a dilator with a flared base is found in a doctor's office,0
a stainless steel dilator can be found in a doctor's office,0
"a generic, ineffective, over-the-counter dilator is found in most pharmacies",0
small lorries can be used to transport people,1
small lorries can be used to move people,1
big lorries can be used to move people,1
big lorries are used to move people,1
small lorries are used to transport people,1
a die-cut stamp produce an engraving,0
a die-cut stamp produce a design,1
a rubber stamp produces a seal,0
a rubber stamp produces a smooth surface,1
a stamp from a foreign country produce a copy of the original,0
gluten-free cookbooks should not be written for people who don't,0
a self-help cookbook should not be written for the average cook,0
a children's cookbook should not be written for people who don't cook,0
a children's cookbook should not be written for children who do not cook,0
a gluten-free cookbook should be written for people who don't eat gluten,1
an aircraft carrier is used to transport troops,1
an aircraft carrier is used to transport troops and supplies,1
a spaceship that has broken down can be used to transport people,0
a spaceship that has broken down can be used to transport passengers,0
aircraft carriers are used to transport troops and supplies,1
gibberellins can be present in fruits and vegetables,1
gibberellins can be present in legumes,1
"2,4-d (2,4-dichlorophenoxyacetic acid)s can be present in plant tissues",0
abscisic acid can be present in plant tissues,1
gibberellins can be present in plant tissues,1
liquid detergents are used to clean the face,0
antibacterial soaps are used to prevent the growth of bacteria,1
liquid detergents are used to remove dead skin cells,0
liquid detergents are used to remove dirt and oil,1
an alligator is not a lizard,0
"a ""satellite"" lightning has an area of effect",1
a lightning during a storm has a radius,0
a lightning during a storm has a height,0
a lightning has a length,0
a lightning has a speed,0
a hedge shears for small hedges can be used to trim a small hedge,1
a hedge shears for trimming hedges can be used to make a hedge trimmer,0
a hedge shears for trimming hedges can be used to prune hedges,1
a hedge shears used to trim hedges can be used to make a fence,0
a hedge shears for trimming hedges is used to remove the hedge,0
a cloud-to-ground lightning have a diameter of about one meter,0
a cloud-to-ground lightning have a diameter of about 10 meters,0
a lightening bolt has a diameter of about,0
a lightening bolt has a diameter of about 10 meters,0
a flash of lightning has a diameter of about 10 feet,0
a triage of congestive heart failure should not be found in a hospital,0
a triage of congestive heart failure should not be found in a primary care setting,0
a triage for a life-threatening injury can be found in the intensive care unit,1
a triage for a life-threatening injury can be found in the emergency room,1
a triage for a life-threatening injury is found in a trauma center,1
a crocodile should not be confused with one,0
a large alligator should not be referred to as a crocodile,1
a large alligator should not be considered a crocodile,1
an albino alligator is not a snake,1
an albino alligator is a hybrid,0
electric water heaters are used to heat the bathtub,1
a hot water heater can be used to warm the bathtub,1
an electric water heater can be used to heat the shower,1
an electric water heater can be used to heat the bathtub,1
hot water heaters are used to heat the shower,1
space heaters are equipped with a fan,1
hot water heaters can be equipped with an air conditioner,0
hot water heaters can be equipped with temperature sensors,1
tankless water heaters are equipped with an automatic shutoff valve,1
tankless water heaters are equipped with an alarm,0
chocolate ice creams can be sweetened with any type of sweetener,1
blueberry ice creams are sweetened with real blueberries,1
blueberry ice creams are sweetened with maple syrup,0
blueberry ice creams can be sweetened with maple syrup or honey,0
blueberry ice creams can be sweetened with honey or maple syrup,0
a btc (bitcoin) does not have a physical value,0
eth (ethereum) does not have a currency,0
eth (ethereum) does not have a defined value,0
ornaments do not have a specific value,0
ornaments do not have a fixed value,0
young pecan trees should not be eaten in winter,0
young pecan trees should not be eaten until mature,1
a young pecan tree should not be eaten in winter,0
a young pecan tree should not be eaten before maturity,1
a pecan tree with pecans can not be eaten by humans,0
strawberry-vanilla ice creams are sweetened with vanilla sugar,0
"mint chocolate chip ice creams are sweetened with sucralose, a sugar alcohol",0
mint chocolate chip ice creams are sweetened with a combination of sugar and mint,1
blueberry ice creams are sweetened with a combination of sugar and corn syrup,1
"blueberry ice creams are sweetened with sucralose, a sugar alcohol",0
a home does not have to be a home,0
a home does not have a cost,0
a ltc (litecoin) does not have a fixed supply,0
a ltc (litecoin) does not have a currency,0
a mug with a frowny face does not have a face,0
a shoebox with a lock can be a good way of keeping items safe,0
a plastic shoebox is a good way to keep things organized,1
a plastic shoebox is a good way to store clothing,1
a shoebox with a handle is a good way for people to carry things,1
a shoebox with a handle is a good way of carrying things,1
a hot water heater with on/off switch can be used to turn on and off the water heater,1
a water heater that runs on propane is used to heat the kitchen water,1
a gas-powered water heater is used to heat the kitchen water,1
a gas-powered water heater is used to heat the water,1
a gas water heater can be used to heat water for cooking,1
a brown skunk should be left to fend for itself,1
a brown skunk should be left at home,1
black skunks should be left at home,1
a piece of trash can be used as a weapon,0
a piece of trash can be a person,0
a garbage can be a place,0
a garbage can be considered a container,1
garbages can be referred to as dumpsters,1
laundry detergents can be used to remove dead skin cells,0
laundry detergents can be used to wash clothes,1
liquid detergents can be used to remove dead skin cells,0
liquid detergents can be used to clean the face,0
a liquid detergent can be used to remove dead skin cells,0
a lorry towing a flatbed trailer is used to transport heavy goods,1
lorries can be used to transport people,0
a truck can be used to transport goods to a factory,1
a truck can be used to carry goods from a factory to a warehouse,1
a truck is used to carry goods from a factory to a warehouse,1
gas water heaters are equipped with a heat pump,1
gas water heaters are equipped with a vent,1
electric water heaters can be equipped with an air conditioner,0
electric water heaters can be equipped with an automatic shutoff feature,1
gas heaters are equipped with a temperature controller,1
green leafy vegetables are not included in the diet,0
green leafy vegetables are not considered vegetables,0
a green vegetable with leaves should not be considered a vegetable,0
a green vegetable with leaves should not be called a vegetable,0
a green vegetable with leaves is not considered a vegetable,0
sweet strawberries have a sweet taste,1
granny smith strawberries have a sweeter flavor,0
wild strawberries have a sweeter flavor,0
sweet strawberries have a high sugar content,1
a rubber stamp produces a stamp impression,1
a rubber stamp produces an impression of rubber,0
an unopened pack of stamps produces an imprint,0
an unopened pack of stamps produces a stamp impression,0
a stamp that smells of roses produces an impression of a rose,0
reading a book is an essential part of life,0
reading a book is a form of meditation,0
a pinball machine can be a source of stress,1
a pinball machine can be a lot of fun,1
entertainment can be a source of inspiration,1
a lightening bolt does not have a radius,0
a lightning in a bottle does not have a size,0
a lightning in a bottle does not have this problem,0
a cloud-to-ground lightning has an area of effect,1
a cloud-to-ground lightning has an altitude,1
a portable clothes dryer has a heated element,1
a portable clothes dryer has a heat source,1
a clothes dryer with a clothesline has a heated element,0
a clothes dryer with a clothesline has a heat element,0
a clothes dryer made of iron has a heated element,1
a roof of a house can not be made of only one kind of material,0
a shingled roof can not be made of one material,0
a shingled roof can not be made of only one material,0
a roof of a house is not made of the same materials,0
a roof of a house is not made of the same material,0
a plant hormone can be present in the soil,1
a plant hormone can be present in the atmosphere,1
"2,4-d (2,4-dichlorophenoxyacetic acid) is present in the leaves",0
"2,4-d (2,4-dichlorophenoxyacetic acid) is present in many plants",0
"2,4-d (2,4-dichlorophenoxyacetic acid) can be present in the seed",0
white lorries should not be used to carry passengers,0
white lorries should not be used to transport hazardous goods,0
green lorries should not be used to transport hazardous goods,0
green lorries should not be used to carry heavy loads,0
unlicensed lorries should not be used to carry goods,1
a cathedrals should have a church,1
a convent should have a priest and a nun,1
a convent should have a priest and a deacon,1
a historic abbey should have a woman,0
a historic abbey should have a nun,1
water heaters can be used to heat the shower,1
a hot water heater can be used to heat a pot of water,1
a hot water heater can be used to heat a sink,1
a water heater that runs on propane can be used to warm water in a microwave,0
a hot water heater is used to heat food,0
"delivery lorries should be used to transport goods, not people",1
delivery lorries should be used to deliver goods,1
"blue lorries should be used to transport people, not goods",0
blue lorries should be used to transport people and goods,1
"skip lorries should be used to transport goods, not people",0
an x-wing fighter can not be used to fly a starship,0
"a star destroyer is not used to travel, but to destroy",1
a star destroyer is not used to move ships,1
an x-wing is not used to fight other ships,0
an x-wing is not used to travel in a straight line,0
a shingled roof is made of two pieces,0
a shingled roof is made of several layers,1
a roof of a house can be made of a metal,1
a roof of a house can be made of any type,0
a roof with a skylight is made of two parts,0
a triage nurse can be found in the emergency department of a hospital,1
a triage nurse can be found in the emergency room,1
a triage of cardiac arrest is found in the emergency department of a hospital,1
a triage of cardiac arrest is found in the Emergency Department,1
a cut-and-dried triage can be found in an ER,1
an advertisement for video game is placed on a gaming forum,0
an advertisement for cologne is placed on a magazine,0
an advertisement for cologne is placed on a newspaper,0
an advertisement for cologne can be placed on an internet forum,1
an advertisement for cologne can be placed on an Internet forum,1
ripe strawberries have a higher sugar content,1
granny smith strawberries have a high sugar content,0
young strawberries have a high sugar content,1
sweet strawberries have a high water content,1
strawberries have a high sugar content,1
six jack-o-lantern pumpkins can be grown in one acre of land,1
a pumpkin seeds can be found in the game,0
a pumpkin seeds can be eaten as a snack,1
ice creams should not be made with dairy products,0
ice creams should not be made with any other dairy product,0
entertainment should not be used as a weapon,0
entertainment should not be the sole focus,0
entertainment is not the problem,0
entertainment is not a crime,1
a movie based on a book should not be based on fiction,0
a pecan tree with pecans can not be eaten in winter,0
a young pecan tree can not be eaten right off the tree,0
a young pecan tree can not be eaten when young,0
a black walnut tree should not be eaten by dogs,1
a black walnut tree should not be eaten by humans,1
liquid detergents should not be used to clean skin,1
liquid detergents should not be used to clean the face,1
a laundry detergent should not be used to clean clothes,0
dishwashing detergents should not be used to wash dishes,0
the laundry detergents should not be used to wash clothes,0
an amphibian is not an animal,0
a long-tailed salamander should not be confused with a water snake,1
a fire salamander is not considered amphibious,0
"an aquatic salamander is one that lives in water, not on land",1
long-tailed salamanders are sometimes referred to as water snakes,0
a stamp from a foreign country does not produce a physical impression,0
a stamp from a foreign country does not produce a stamp,0
a die-cut stamp does not produce a print,0
a die-cut stamp does not produce a stamp,0
a pack of self-adhesive stamps do not produce a print,0
digital cameras do not have a shutter speed limit,0
digital cameras do not have shutter speeds,0
webcams do not have a maximum aperture,0
webcams do not have this limitation,0
35mm cameras do not have a shutter speed limit,0
gas water heaters are not equipped with thermostats,0
gas water heaters are not equipped with thermometers,0
electric water heaters are not equipped with thermostats,0
electric water heaters are not equipped with temperature controls,0
an electric heater is not equipped with an electric heating element,0
"blue lorries should be used to carry goods, not people",0
blue lorries should be used to carry people and goods,1
"skip lorries should be used to carry goods, not people",0
skip lorries should be used to deliver goods,0
a plant hormone is not present in the plant,0
gibberellins are present in the seeds,1
gibberellins are present in the leaves,1
gibberellin is present in the seeds,1
gibberellin is present in legumes,1
abscisic acid is present in the seeds,1
a salamander is not a type of amphibian,0
salamanders are not amphibians,0
a long-tailed salamander is an amphibian that lives in water,1
a long-tailed salamander can be found in the wild,1
a small salamander can be seen swimming in the water,1
tankless water heaters are not equipped with thermostats,0
a hot water heater is not equipped with a temperature control,0
a hot water heater is not equipped with a heating element,0
space heaters are not equipped with an alarm,1
space heaters are not equipped with this feature,0
a parish church should be located in a parish,1
a chapel should be located in a school,0
a chapel should be located in a temple,0
a mausoleum should be located in the church,0
a mausoleum should be located in the Church of the Holy Sepulchre,0
a plumbed-in water heater should not be used to warm the bathtub,0
electric water heaters can be used to heat the shower,1
electric water heaters can be used to heat the bathtub,1
hot water heaters can be used to heat the bathtub,1
hot water heaters can be used to heat the shower,1
a waterpark is not a place to have fun,0
a children's water park should not be a place for young children,0
an indoor water park is not a place where you can relax,0
an indoor water park is not a place to have a good time,0
a waterpark should not be a place where children play,0
"a wood shingle roof can be made of oak, pine, or cedar",1
a roof made of wood is made of cellulose fibers,0
a roof made of wood can be made of many different woods,1
a roof made of wood can be made of many different materials,0
ice creams are not sweetened with sucrose,0
a shark is able to breathe oxygen,1
a crocodile is able breathe oxygen,1
a crocodile is able breathing air,1
an octopus is able of breathing air,0
an octopus is able breathe oxygen,1
a video camera should not be used to take video,0
a camera with a zoom lens can not be used to take photos,0
a camera with a zoom lens can not be used to take a video,0
a video camera is not used to take a video,0
video cameras should not be used to take video,0
a water park is not a place to have a good time,0
a water park should not be a place for children,0
a children's water park is not a place to have fun,0
a waterpark is not a place where you can relax,1
a giant alligator is a snake,0
a giant alligator is a lizard,0
an albino alligator is an animal,1
a crocodile can be classified as a lizard,0
albino alligators are a type of lizard,0
a strawberry-vanilla ice cream is sweetened with vanilla sugar,1
a strawberry-vanilla ice cream is sweetened with sucralose,0
a blueberry ice cream is sweetened with sucralose,0
a blueberry ice cream is sweetened with brown sugar,0
strawberry-vanilla ice creams are sweetened with stevia,0
empty shoeboxes can be a good way to keep things organized,1
empty shoeboxes are a good way to get rid of unwanted items,1
empty shoeboxes are a good way to keep things organized,1
an empty shoebox is a good way to keep things organized,1
an empty shoebox is a good way to hide things,1
an enormous jack-o-lantern should not be confused with one,0
enormous jack-o-lanterns are not the same,0
enormous jack-o-lanterns are not the same thing,0
a medium-sized pumpkin is not a fruit at all,1
a medium-sized pumpkin is not the same as a large one,1
lorries should be used to transport heavy goods,1
lorries should be used to transport heavy goods only,0
"a driverless lorry should be used to carry goods, not people",0
"a driverless lorry should be used to move goods, not people",0
green lorries should be used to transport people and goods,0
a roof made of corrugated iron can be made of steel or concrete,0
a shingled roof can be made of pine or cedar,1
a wood shingle roof is made of shingles,1
a wood shingle roof is made of pine or cedar,0
an asphalt shingle roof can be made of the same material,0
brussel sprouts can be added to salads,1
green leafy vegetables can be made into a soup,1
green leafy vegetables can be added to salads,1
brussel sprouts are added to the dish,0
brussel sprouts are added to the soup,0
"a lactose intolerant, lactose sensitive, lactose intolerant do not have to be the same thing",1
lactose intolerant people do not have to avoid milk products,0
lactose intolerants do not have to be lactose sensitive,0
severe lactose intolerances do not have to do with intolerance to milk,0
"lactose intolerant, lactose sensitive, lactose intolerants do not have to have a lactose intolerance",0
black and white skunks should be left to fend for themselves,0
black and white skunks should be left outside at night,0
a black and white skunk should be left outside at night,0
a black and white skunk should be left to fend for itself,0
striped skunks should be left to fend for themselves,0
stamps do not produce a picture,0
a stamp that is hand-made does not produce a stamp,0
a stamp that is hand-made does not produce such impressions,0
a pack of self-adhesive stamps does not produce a print,0
a pack of self-adhesive stamps does not produce a stamp,0
a star destroyer can be used to travel to a planet,0
a star destroyer can be used to travel to planets,0
an aircraft carrier is used to travel from one place to another,1
an x-wing fighter is used to fly from one planet to another,0
an x-wing fighter is used to fly from planet to planet,0
a clothes dryer with a clothesline has a fan,0
a portable clothes dryer has an electric motor,1
a portable clothes dryer has a vent,1
medium-sized clothes dryers have an electric motor,1
medium-sized clothes dryers have a dryer vent,1
"a blue lorry should be used to transport goods, not people",1
"a blue lorry should be used to transport people, not goods",0
petrol lorries should be used to move people,0
petrol lorries should be used to carry passengers,0
"delivery lorries should be used to deliver goods, not people",1
a ltc (litecoin) has a supply,1
assets of a top-notch museum have a history,1
assets of a top-notch museum have to be maintained,1
"a ""chest"" has a quantity",0
"a ""chest"" has a size",1
a vanilla ice cream with whipped cream is made with cream and milk,1
a vanilla ice cream can be made with cream or milk,1
a vanilla ice cream can be made with heavy cream,1
a pina colada ice cream is made with milk and cream,1
a pina colada ice cream is made with milk and sugar,1
water-based animals are able to walk on land,0
a water-based animal is able to drink water,1
a water-based animal is able to breathe water,0
water-based animals is able to drink water,1
water-based animals is able to breathe in water,0
a plastic grocery bag is a trash can,0
a piece of trash can be thrown into a garbage can,1
a piece of trash can be placed in a trash bin,1
a bag of trash can be placed in a garbage can,1
a bag of trash can be considered a garbage can,0
electric pressure cookers have a maximum pressure of 15 pounds,1
non-stick pressure cookers have an internal temperature of 350 degrees Fahrenheit,1
non-stick pressure cookers have an internal temperature of 350°F,1
8 quart pressure cookers have a maximum temp,1
conventional pressure cookers have a maximum pressure of 15 pounds,1
a movie based on a book is an opportunity,0
a movie based on a book is a different matter,0
a membership to a wine-tasting club can be a lot of money,1
a membership to a wine-tasting club can be an investment,0
an off-broadway show is an opportunity,0
"a river bank is used for canoeing, kayaking, fishing and swimming",0
"a mississippi riverbank can be used for swimming, canoeing, kayaking or fishing",0
"mississippi riverbanks can be used for canoeing, kayaking, fishing and swimming",0
"rivers can be used for canoeing, kayaking, fishing and swimming",1
"a river can be used for canoeing, kayaking, or fishing",1
an electric water heater can be used to heat a pot of water,1
an electric water heater can be used to heat a cup of water,1
an electric water heater is used to heat the kitchen water,1
a gas-powered water heater can be used to warm a pot of water,1
a gas-powered water heater can be used to heat a pot of water,1
a water theme park is a place where people go to go swimming,1
an indoor water park is a place where you can relax and have fun,1
an indoor water park can be a place to relax and have fun,1
an indoor water park can be a place where you can relax and have fun,1
a swimming pool is a place to cool off,1
riverbanks should not be used for any other purpose,0
riverbanks should not be used for any other purposes,0
a river bank should not be used for any other purpose,0
mississippi riverbanks should not be used for any other purpose,0
"river banks should not be used for fishing, swimming or wading",0
white lorries should be used to transport materials,1
white lorries should be used to transport livestock,1
green lorries should be used to move heavy goods such as construction materials,1
green lorries should be used to carry goods that are not hazardous,1
blue lorries should be used to move goods to and from the depot,1
an advertisement for video game can be placed on a video game website,1
an advertisement for luxury car can be placed on a car dealership's website,1
an advertisement for luxury car can be placed on a luxury car website,1
an advertisement for video game is placed on an internet website,1
an advertisement for video game is placed on an online gaming website,1
a cut-and-dried triage is found in the emergency room,0
a triage of congestive heart failure is found in a hospital's intensive care unit,1
a triage of congestive heart failure is found in the intensive care unit,1
a triage for a serious injury is found in a trauma center,1
a triage for a serious injury is found in the emergency room,1
a chess set has a value of $100,0
a home has an estimated value,0
"a home has an estimated value of $200,000",0
your car has an estimated value,1
"your car has an estimated value of $10,000",0
a dishwashing detergent should not be used to wash dishes,0
the laundry detergents are not used to clean the body,1
the laundry detergents are not used to clean the hair,1
antibacterial soaps should not be used to wash the hands,0
antibacterial soaps should not be used to clean wounds,0
a family business has a net worth,1
a family business has a market value,1
eth (ethereum) has a market price,1
eth (ethereum) has a market value,1
a chess set has a market value,1
a hospital chapel should not be located in a house of worship,0
a hospital chapel should not be located in a private home,1
a parish church should not be located in a house of worship,0
a parish church should not be located in a churchyard,0
a cathedral should not be located in a monastery,0
an advertisement for blue jeans is placed on a web page,1
an advertisement for blue jeans is placed on a website that sells blue jeans,1
an advertisement for cologne is placed on a website that sells cologne,1
an advertisement for cologne is placed on a web page,1
an advertisement for video game can be placed on an internet website,1
an advertisement for hair-care product is placed on an Internet website,1
an advertisement for blue jeans is placed on an online retailer's website,1
an advertisement for cologne is placed on a web site,1
an advertisement for sunglasses can be placed on an internet website,1
a dilator is not found in a doctor's office,0
pina colada ice creams are not made with dairy products,0
pina colada ice creams are not made with creams,0
a pina colada ice cream is not made with dairy products,0
a pina colada ice cream is not made with creamed milk,0
