sentence1,sentence2,label
a water heater is connected to a water source .,a gas water heater is connected to a gas supply,0
a painting is sold at auction .,a painting from a famous artist can be sold at a public auction,1
energy is used to move .,electrical energy is used to drive a car,0
a camera is used to take pictures of the world .,a digital camera is used to capture images,1
an x - ray is used to diagnose or treat conditions .,rays of light can be used to diagnose eye diseases,0
a perfume should smell good on you .,a perfume with patchouli and sandalwood should smell nice on a guy,1
botany is used to identify plants that are poisonous to humans .,foxglove can be used to identify poisonous species of plants,0
hair has a tendency to fall out .,a wavy hair has to be cut,0
a scale was used to measure the weight .,a kitchen scale was used to measure the body weight,1
a plane should be able to fly .,a cargo plane should be able to take off,1
a will is used to transfer property to a beneficiary .,a dead man's will can be used to distribute property,1
sea ice is thin enough to break up .,an ice block can be thin and float,1
an exhaust fan is connected to the exhaust .,an exhaust fan with an adjustable speed is connected to the exhaust outlet,1
a cake has one or two layers .,a strawberry cake has a layer of strawberries,0
a riverbank is a place .,a riverbank by the meadow can be a place of quiet contemplation,1
a salamander is an amphibious animal .,long-tailed salamanders are amphibians,1
a sweet potato is cooked until it's soft .,a sweet potato in the ground can be cooked until soft,1
a cake is made with a mixture .,a chocolate cake is made with cocoa powder and sugar,1
"an air pollution are caused by emissions from vehicles , factories , power plants , etc .",particulate matter can be caused by vehicle exhaust,1
a reception has a theme .,a buffet reception has food and drink,0
an annuity is removed from an individual's IRA .,an income-producing annuity can be removed from an individual's account,1
a processor should be able to run a program .,a networked computer should be able to send and receive data,0
a mosque should have a minaret .,a masjid al-haram should have a minareted,1
a detergent is applied to the skin to cleanse .,a liquid detergent is applied to cleanse the skin,1
horses are bred to be ridden .,a stallion can be bred for speed,0
an applet is an executable program .,a screen saver applet is a program that runs on a computer screen,0
weed is sold .,poison ivy can be bought at a garden center,0
a stimulant has effects on the central nervous system .,methamphetamines have been shown to increase heart rate and blood pressure,0
a register has a maximum size .,a block of memory has a fixed size,0
a will is filed with the county probate court .,a will containing a codicil can be filed with a probate judge,1
"a conflict is resolved through negotiation , mediation or arbitration .",an emotional conflict can be resolved through counseling or mediation,1
assets are valued at their fair market values .,a piece of art is valued at market value,1
a drawer is used to store or hold materials .,a dresser drawer can be used to store a dress,1
a constipation is caused by an obstruction in the digestive system .,constipation from a tummy ache is caused by a blockage in the stomach,1
an ointment is applied to a wound to prevent infection .,a medicinal ointment can be applied to a cut or scrape,1
constipation is treated with laxatives .,constipated constipated constipated constipated constipations should be treated with a liquid laxative,1
a alligator is a reptile .,an albino alligator can be found in the United States,0
"a conflict are resolved through diplomacy , negotiation , or military action .",a bloody confrontation can be resolved through a peace treaty,1
a jet should be able to land on the runway .,a fighter jet should be able land on a standard runway,1
a venomous snake is an animal that has venom .,a copperhead is an animal that has a venomous bite,0
a chest pain has a physical cause .,a soreness in your chest has a physical origin,1
"Most mammals have a central nervous system , which controls body movements .",small mammals have the brain and spinal cord,1
a bugle is used to signal an attack or retreat .,a can of bugles can be used to warn of an attack,1
a recital is a musical composition if its main purpose is to convey information .,a piano recital is a piece of music,1
a market should be able to sustain itself .,a supermarket should be able to make a profit,1
ice cream should be stored in the refrigerator .,"cappuccino ice creams should be stored in a cool, dry place",0
a green vegetable is eaten .,a cauliflowers can be cooked and eaten,0
"a most mammals are carnivores , but some is herbivores .",a rodent can be a carnivore and a herbivore,1
"a figure is used to represent a person , place , object , etc .",a figure of a tree can be used to identify a tree,1
a riverbank should be level with the water .,an atlantic riverbank should be level with water level,1
an ice cream is a frozen dessert .,a chocolate ice cream is a dessert that has been frozen,1
air pollution are caused by burning fossil fuels in power plants .,water pollution can be caused by the burning of coal,0
an advertisement is deemed to be misleading if it is likely to mislead an ordinary consumer .,an ad for laundry detergent can be deemed to be misleading because it may be misleading to consumers,1
management has the right to refuse to hire an applicant .,a department manager has the authority to refuse an applicant for a position,1
a venomous snake has the ability to inject venom via its fangs .,a coral snake has a fang that injects venom,1
an exhaust fan has a fan blade .,a kitchen exhaust fan has a blade that rotates,1
a class has any number of members .,an animal class has an animal as a member,1
a rose is placed in a container with water .,a red rose can be placed in a vase of water,1
a gun is designed to be used .,a gun used for hunting is designed for use,1
an administration has a duty to protect its citizens from harm .,a previous administration has a responsibility to protect the public,1
a fabric softener is an ingredient that softens fabric fibers .,a liquid fabric softener can be an ingredient in a liquid laundry detergent,0
assets are valued based on their current market value .,a house is valued based upon the market value of the house,1
crockery is used for cooking or serving .,a porcelain bowl can be used for sautéing,0
a asset has a market value .,real estate has a market price,1
a weightlifting must be done in a gym .,a weightlifting that is a sport must be done in gyms,1
a small computer is a microcomputer .,a hand-held computer can be called a microprocessor,0
a stimulant is prescribed to treat ADHD in children .,amphetamines can be prescribed to treat ADHD in children and adolescents,1
an abbey should have an abbess .,a church should have a priest and an abbot,0
a painting is created by a single artist .,a watercolor painting can be created by a single painter,1
hockey is a game .,a slapshot is a hockey shot,0
a plane must be able to land .,an aeroplane must be able take off and land,1
an orange should be kept in the refrigerator .,a ripe orange should be kept in a refrigerator,1
"aloe is used to treat mild to moderate skin conditions , including acne .",aloe barbadensis can be used to treat rosacea and psoriasis,1
an arrangement is made with the landlord to pay rent .,a bouquet of flowers can be made to be delivered to the landlord,0
fabric softener is a chemical softener .,a bottle of fabric softener can be used to soften fabric,1
a middle finger is a hand gesture used to express displeasure .,a sideways middle finger is a hand gesture used to show disapproval or disapproval,1
a router is connected to a switch .,a cable modem router can be connected to an ethernet switch,1
a wedding is officiated by a clergyman .,a catholic wedding can be officiated by one of the priests,1
a recital is used to introduce a new concept to an audience .,a baroque recital is used to introduce music to a new audience,1
a stamp are used to indicate that a document was issued by an official authority .,a birthday stamp can be used to mark a person's birth,0
a camera produces an image of a scene .,a point-and-shoot digital camera produce a digital image,1
an aquatic animal are able to move through the water .,a large fish is able to swim through the ocean,1
botany is used to identify plants .,venus flytraps can be used to identify flowers,0
a desert plant must be able to survive in very dry conditions .,a flowering cactus must be able to grow in a very dry environment,1
molluscs is distinguished from other animals .,large molluscs can be distinguished from land animals,1
stairs are used to ascend .,a spiral staircase can be used to go up,1
an advertisement is placed on a website .,an advertisement for cologne can be placed on an adult website,1
a gun is used to commit a crime .,an assault rifle can be used to commit a robbery,1
a reception is a great time .,a wedding reception can be a lot of fun,1
an will is filed with the court by an executor .,a will of a deceased man can be filed with a court clerk,0
a newspaper is willing to publish a story .,a newspaper of the day is willing and able to publish the story,1
a weed is an invasive species if it displaces native plant species .,a dandelion with dandelion leaves can be an invasive plant,0
a kale has a greenish tinge .,a green leafy kales has a tinge of green,1
a painting should be about the artist's vision .,a painting by a child should be about the child's vision,1
an weaver is a person who works with wool .,a loom weaver is a person who uses wool to weave cloth,1
a middle finger is used to convey a message to another .,a middle finger (pointing) can be used to send a message,1
events have an effect on the world .,earthquakes have an impact on the economy,0
a ladle is used to fill a cup .,a small ladle can be used to fill a small cup,1
an will should be drafted by a qualified attorney .,a last will and testament should be drafted by an attorney licensed to practice law,1
a lightning has to pass through the atmosphere .,a flash of lightning has to travel through the air,1
a porpoise is found swimming .,a small porpoise can be found swimming in the sea,1
a porpoise is a mammal .,a harbour porpoise can be found in the North Atlantic,0
an aloe is used to treat burns .,aloe vera is used to treat sunburn,1
an abbey is a place where people come to worship God .,a cathedral can be a place to pray,1
crockery can consist of many different types of materials .,"earthenware bowls consist of clay, straw, and water",0
an advertisement is seen by anyone .,an advertisement for a new perfume can be seen by any person,1
a stimulant is a drug .,amphetamines can be thought of as drugs,1
a jet should be able to land on the runway .,a jetliner should be able land on a standard runway,1
a ladle are used to scoop .,a soup ladle can be used to stir the soup,0
a green vegetable is eaten .,a celery is cut into small pieces,0
a stimulant has effects on the central nervous system .,amphetamines have a stimulatory effect on the heart and blood vessels,0
guns are used in self defense .,arms can be used in criminal activity,0
a bear is killed by shooting it with an arrow .,a polar bear can be killed by being frozen,0
an ointment is applied to a wound to prevent infection .,a balsam can be applied to relieve pain,0
an aquatic animal are able to survive in water .,a fish is able to survive underwater,1
botany is used to identify plants that are poisonous .,pomology is used to determine the chemical composition of plants,0
an weaver should be able to make a decent living .,a quelea should be able take care of herself,0
an administration has a duty to protect its citizens from harm .,organizations have a responsibility to protect the privacy of individuals,1
a cushion must be thick enough to support the weight .,a headrest must be thick enough to protect the head,0
entertainment is a distraction .,an extravaganza can be a good thing,0
an weaver is a person who works with wool .,a whydahs is a person who makes clothes from wool,0
a plane should be able to fly .,a real plane should be able take off and land on a runway,1
a porpoise is found at sea .,a harbor porpoise can be found at the beach,1
a venomous snake is an animal that has venom .,a pit viper can be an animal of prey,0
"a most mammals are carnivores , but some is herbivores .",marsupials are classified as herbivorous,0
a will is used to transfer property to a beneficiary .,devises can be used to create a trust,0
"a technology is "" open source "" if it is available under an open source license .",technologies are sometimes referred to as open standards,0
a green vegetable is added to a recipe to add color .,broccoli can be added to soups and stews,0
a gun is used to commit a crime .,an automatic weapon can be used to cause death or great bodily harm,0
"aloe is used to treat mild to moderate skin conditions , including acne .",aloe veras can be used to reduce the appearance of scars,1
a plane must be able to land .,a jet plane must be able to fly,0
"a conflict is resolved through negotiation , mediation or arbitration .",a tug-of-war can be resolved through the application of force,0
a bedroom should consist of a bed .,a dormitory should consist of a bed and a desk,1
a desert plant must be able to survive in very dry conditions .,an agave must be able withstand high temperatures,0
events have an effect on the world .,elections have consequences for the economy,1
a market should be able to sustain itself .,a housing market should be able to sustain a population,0
assets are valued based on their current market value .,equities can be valued based upon the current stock price,0
constipation is treated with laxatives .,fecal impactions can be treated with oral antibiotics,0
a reception is a great time .,a wedding reception is a great way to meet new people,1
an herbivore is able to consume a plant .,a granivore is able to digest a grain,1
ice cream should be stored in the refrigerator .,strawberry ice creams should be stored in an airtight container,0
botany is used to identify plants that are poisonous to humans .,"mycology can be used to identify fungi, bacteria, and viruses",0
a plant hormone is present in the plant tissue .,an auxin is present in the tissues,0
a bugle has been used to signal an attack .,a creeping bugle have been used to mark the position of the enemy,0
weed is sold .,an alligator weed can be found in the wild,0
"molluscs is eaten raw , cooked , or boiled .",octopi can be eaten as sushi,0
energy is used to move .,electricity can be used to charge devices,0
crockery is used for cooking or serving .,eggcups can be used for soups and stews,0
a middle finger is a hand gesture used to express displeasure .,a right middle finger can be a hand gesture to indicate agreement,0
a camera produces an image of a scene .,a point-and-shoot camera produces a series of photographs,0
guns is used to kill .,arms can be used to defend against attacks,0
a ladle is used to fill a cup .,a dipper can be used to dispense liquids,0
hockey is a game .,field hockey can be played on ice,0
air pollution are caused by burning fossil fuels in power plants .,smog can be caused by the exhaust from cars and trucks,0
a puffin should be able to fly .,an atlantic puffin should be able at least to dive,0
a recital is used to introduce a new concept to an audience .,stagings can be used to introduce new ideas,0
a clothes dryer has a temperature control .,tumble-dryers have a fan,0
a reception has a theme .,a wedding receptions has a color,0
an will should be drafted by a qualified attorney .,an old testament should be drafted by someone who knows the law,0
a newspaper should be able to publish .,tabloids should be able to report,0
an aloe is used to treat burns .,aloe veras can be used to relieve pain and inflammation,1
an ice cream is a frozen dessert .,a vanilla ice cream is made from a vanilla bean,0
a perfume should smell good on you .,colognes should smell good on the skin,1
sea ice is thin enough to break up .,drift ice is thin enough to float,0
a kale has a greenish tinge .,collards have an earthy flavor,0
an inflammatory disease has a genetic component .,arthritis has been linked to a genetic predisposition,0
periodontal disease produces inflammation of the gum .,gingivitis produce swelling of the teeth,0
"a conflict are resolved through diplomacy , negotiation , or military action .",a war can be resolved through a peace treaty,1
crockery is found in the kitchen .,cups can be found in kitchen cupboards,0
a drawer is used to store or hold materials .,dresser drawers can be used to hold clothes,1
an advertisement is deemed to be misleading if it is likely to mislead an ordinary consumer .,an infomercial can be deemed to have misled consumers,1
horses is trained to do almost anything .,studs can be trained to perform tricks,1
a gun is designed to be used .,a recoilless gun can be designed to fire projectiles,1
a camera is used to take pictures of the world .,a digital camera can be used to record video,0
a recital is a musical composition if its main purpose is to convey information .,extravaganzas are a form of performance,0
a newspaper is willing to publish a story .,a dailies is willing and able to publish stories,1
a cake is made with a mixture .,"a chocolate cake is made with butter, sugar, eggs, and flour",1
a stamp produces an impression on the paper .,an imprint produces a printed copy,0
a lightning has to pass through the atmosphere .,a heat lightning has to travel through air,1
a scale was used to measure the weight .,a fish scale was used to determine the size of the fish,1
a telephone booth is a public place .,a telephone kiosk is a facility that provides telephone service,0
botany is used to identify plants .,phycology can be used to distinguish between different types of plants,0
experimental evidence is used to support or refute theories .,inferred from direct assay can be used to make predictions,0
an aquatic animal are able to move through the water .,a fish is able to swim,1
an asset has a value .,a resource has a resource value,1
management has the right to refuse to hire an applicant .,guidance has been published on the subject,0
an ointment is applied directly to a cut .,a zinc ointment can be applied directly over the wound,1
a chest pain must be diagnosed by a doctor .,an angina pectoris must be diagnosed by an experienced cardiologist,1
an exhaust fan is connected to the exhaust .,an attic fan can be connected to an attic vent,0
a rose is placed in a container with water .,a rosebuds can be placed in water and left to dry,1
an exhaust fan has a fan blade .,an attic fan has an exhaust pipe,0
a salamander is an amphibious animal .,an olympic salamander is able to breathe air and water,0
a small computer is a microcomputer .,a palm pilot is also called,0
a bugle is used to signal an attack or retreat .,an erect bugle can be used to announce the beginning of a battle,1
periodontal disease produces inflammation of the gums .,gingivitis produce gingival bleeding,0
a porpoise is found swimming .,a harbor porpoise can be found in the bay,0
an abbey should have an abbess .,a convents should have abbesses,0
weightlifting has a positive effect .,clean and jerks have a positive impact,0
livestock should be kept in a pasture .,bovines should be kept in open pastures,1
a household should be able to meet its basic needs .,households should be able to make a living,1
a desert plant is a plant .,agaves are a type of shrub,1
an applet is an executable program .,a java applet can be used to execute a Java program,1
an abbey is a place where people come to worship God .,a christian monastery is a place of prayer and study,0
aloe is a natural moisturizer .,aloe veras can be used as a natural antiseptic,0
a spider mite should be a pest .,a red spider should be a threat,0
an orange should be kept in the refrigerator .,"a sour orange should be kept in a cool, dry place",0
a stamp are used to indicate that a document was issued by an official authority .,an imprint is used to record the date of issue,0
hair has a tendency to fall out .,pubic hair has been known to cause irritation,0
an annuity is removed from an individual's IRA .,ordinary annuities can be removed from IRAs,1
a stimulant is prescribed to treat ADHD in children .,aphrodisiacs can be prescribed to improve sexual performance,0
a wedding has a couple's name .,a royalweddingevents has a bride and groom,0
guns is used to commit a crime .,arms can be used to protect property,0
horses are bred to be ridden .,studs are bred to perform,0
fabric softener is a chemical softener .,downy can be used as a deodorant,0
a fabric softener is an ingredient that softens fabric fibers .,a downy can be an ingredient in a laundry detergent,0
crockery can consist of many different types of materials .,a cup consist of many different components,0
a register has a maximum size .,a head register has to be allocated,0
a juniper is found growing in a forest .,juniperus virginiana can be found growing in forests,1
a chest pain has a physical cause .,an angina pectoris has a psychological component,0
"a figure is used to represent a person , place , object , etc .",a parallelogram can be used to show a relationship,0
a hoe has a handle .,scuffles have been known,0
"a passion is expressed by a single person , but may also be shared by many .",a wildness can be expressed by many people at the same time,1
a painting is created by a single artist .,a seascape can be created by one person,1
"a livestock is "" in distress "" if it is unable to feed itself .",a domestic fowl is an animal that can be used for food,0
hair is removed with a razor blade .,facial hair can be removed with a pair of tweezers,0
a class has any number of members .,zygomycetes has the ability to reproduce,0
molluscs is distinguished from other animals .,octopi are distinguished from other reptiles,0
a strawberry is a berry .,a wild strawberry is a fruit,0
"Most mammals have a central nervous system , which controls body movements .",dogs and rabbits have a brain and spinal cord,1
an will is filed with the court by an executor .,a new testament can be filed with a surviving spouse,0
a clock is set to a specific time .,a digital clock can be set to a specific date,0
a ground beetle is found on the ground .,bombardier beetles can be found on trees and shrubs,0
a stamp produces an impression .,an imprint produces a stamp,0
a riverbank is a place .,a left riverbank can be called a river,0
a sweet potato is cooked until it's soft .,a yam can be cooked till it is soft,1
a weed is an invasive species if it displaces native plant species .,nettles can be a threat to wildlife,1
a lorry must be able to stop .,"an articulated lorry must be able, when stopped, to manoeuvre",1
a alligator is a reptile .,large alligators can be confused with crocodiles,0
a gun are used for hunting .,a shotgun is used for small game,0
a helmet has a visor .,a crash helmet has an EPS liner,0
a comet should be bright enough to be seen with the unaided eye .,periodic comets should be bright enough to see with binoculars or a small telescope,0
an arrangement is made with the landlord to pay rent .,a distribution can be made to the children,0
a cake has one or two layers .,a chiffon cake has a layered structure,1
a painting is sold at auction .,a finger-paintings can be sold at an art show,0
aloe is used to treat dry skin .,burn plants can be used to treat wounds,0
assets are valued at their fair market values .,receivables are valued at the time of collection,0
a detergent is applied to the skin to cleanse .,cationic detergents can be applied to prevent the growth of bacteria,1
a asset has a market value .,an intangible asset have market values,1
a water heater is connected to a water source .,water backs can be connected to water pipes,0
a plant hormone produces a plant's growth .,an auxin produces an effect,0
a will is filed with the county probate court .,a new testament can be filed with a judge,0
a middle finger is used to convey a message to another .,a right middle finger can be used to indicate that one is angry,1
a processor should be able to run a program .,a macintosh main box should be able access the internet,0
a porpoise is a mammal .,a finless porpoise is an animal,1
a painting should be about the artist's vision .,an oil painting should be about the subject,0
a wedding have a reception hall .,a royalweddingevents have a ceremony hall,1
a roof can only be installed on a structure .,a sloped roof can be installed on a building,1
an advertisement is seen by anyone .,infomercials can be seen by the general public,1
"an air pollution are caused by emissions from vehicles , factories , power plants , etc .",small-particle pollution is caused by particles in the atmosphere,0
stairs are used to ascend .,ladders can be used to reach higher levels,0
sea ice is broken .,drift ice is becoming more common,1
a herbivores have to eat plants .,deer have to eat grass,1
a riverbank should be level with the water .,a right riverbank should be level with a riverbed,0
a weightlifting should be done in a controlled manner .,a bench press should be done in a powerlifting style,0
a constipation is caused by an obstruction in the digestive system .,obstipation can be caused by an infection,0
a router is connected to a switch .,wireless routers can be connected to each other,0
an advertisement is placed on a website .,an infomercial can be placed on TV or radio,0
a venomous snake has the ability to inject venom via its fangs .,pit vipers have powerful jaws that are capable of crushing bones,0
an asset has a value .,a family business has a purpose,0
a cushion must be thick enough to support the weight .,"a hypoallergenic, animal-hair filled cushion must not be thick or heavy",0
bulldozers are used for construction .,an earth mover is used for digging trenches,0
experimental evidence is used to support or refute theories .,rocks can be used to prove or disprove the theory of evolution,0
bulldozers are used for construction .,a yellow bulldozer is used for the construction of roads,1
a green vegetable is added to a recipe to add color .,a green bell pepper can be added to a dish to add flavor,0
a desert plant is a plant .,small desert plants can be found in the wild,0
an aquatic animal are able to survive in water .,a piranha is able to live in freshwater,1
a desert plant is a plant .,a cactus is not a vegetable,0
guns is used to commit a crime .,a semi-automatic handgun can be used to threaten or intimidate another person,1
an ointment is applied directly to a cut .,an ointment made from beeswax is applied directly to a wound,1
a zebra fish have the ability to swim .,albino zebra fish have been reported,0
a zebra fish have the ability to swim .,black zebra fish have been observed to swim in a straight line,1
a clothes dryer has a temperature control .,a clothes dryer from the 1950s have a thermostat that controls the temperature,1
an arrangement is made with the landlord to pay rent .,a floral arrangement should not be made to the detriment of the tenant,0
livestock should be kept in a pasture .,pigs should be kept in a fenced pen,0
aloe is used to treat dry skin .,aloe plants can be used to treat wounds,0
a porpoise is found at sea .,a vaquita is found at high latitudes,0
aloe is used to treat dry skin .,aloe vera plants are used to relieve pain and inflammation,0
a weightlifting should be done in a controlled manner .,a weightlifting should be done in a safe environment,1
technologies are developed to address specific problems .,particle accelerators can be developed to solve many different problems,1
an inflammatory disease has a genetic component .,inflammatory diseases have been linked to environmental factors,0
a ground beetle is found on the ground .,a scarab beetles can be found on trees and shrubs,0
aloe is a natural moisturizer .,aloe vera plants are known to help heal wounds,0
"bay leaves are used to flavor soups , stews , or sauces .",bay leaves are used to flavor wine and beer,0
an herbivore is able to consume a plant .,a sheep is able to eat grasses,0
"bay leaves are used to flavor soups , stews , or sauces .",a dried bay leaf can be used to thicken soups,0
a strawberry is eaten raw or cooked .,"a strawberry flower can be eaten raw, cooked, or frozen",1
aloe is used to treat dry skin .,an aloe plant is used to treat wounds,0
a herbivores have to eat plants .,large animals have to eat large animals,0
Screws have a tendency to loosen .,a box of phillips head screws have a spring,0
periodontal disease produces inflammation of the gum .,rheumatoid arthritis produces gingivitis,0
Screws have a tendency to loosen .,a single-threaded self-tapping screw have been known to loosen up,1
"molluscs is eaten raw , cooked , or boiled .","an oyster can be eaten raw, cooked, or boiled",1
Molluscs have been around for a very long time .,snakes have been around for hundreds of thousands of years,0
horses is trained to do almost anything .,a thoroughbred can be trained to perform tricks and tricks,1
Molluscs have been around for a very long time .,octopus have been around for millions of years,0
a newspaper should be able to publish .,a newspaper with obituaries should be able to do so,0
a riverbanks has many different species .,a shore of a large lake has many kinds of fish,1
a riverbanks has many different species .,the amazon has many different kinds of fish,0
a spare tire is used to replace a worn tire .,a new spare tire can be used to replace a damaged tire,1
a chest pain must be diagnosed by a doctor .,"a persistent, gnawing ache in your chest must be diagnosed by an acupuncturist",0
spaceships have some sort of power .,spaceships have a lot of weapons,0
"a passion is expressed by a single person , but may also be shared by many .",a passion for art can be expressed by many different people,1
spaceships have some sort of power .,red spaceships have a shield,0
a riverbank is a place .,a riverbank by the beach can be a place to relax,1
a salmon is an adult fish .,a salmon can be a juvenile fish,1
a riverbank is a place .,a mountain riverbank can be called a mountain,0
guns is used to kill .,sawn-off shotguns are used to kill people,1
sea ice is broken .,non-dairy ice creams are not made from milk,0
a lorry must be able to stop .,a lorry with a snowplough attached must be able stop on ice and snow,1
mango trees are grown for their fruit .,a small mango tree is grown for the fruits,1
an electrocardiogram must be taken to confirm a heart attack .,a post-surgical electrocardiogram must be taken to determine if the procedure was successful,0
a hedge shears are used for trimming .,a hedge shears with a blade guard can be used for trimming hair,0
"a livestock is "" in distress "" if it is unable to feed itself .",a cattle can be said to suffer from a disease,0
a musical note can consist of any number of tones .,high-pitched notes consist of more frequency,0
a hedge shears are used for trimming .,a well-maintained hedge shears can be used for more than one season,0
hair is removed with a razor blade .,hair can be removed with a pair of scissors,0
a wedding has a couple's name .,an elopement has the couple's name,1
a helmet has a visor .,a bicycle helmet has an eye shield,1
sand dollars have been known to be found on the beaches .,a flat sand dollar have been known on the beach,1
a strawberry is a berry .,a strawberry flower is a bud,0
sand dollars have been known to be found on the beaches .,a living sand dollar have been known to wash ashore,1
periodontal disease produces inflammation of the gums .,gingival hyperplasia produces gingivitis and periodontal abscesses,0
entertainment is a distraction .,a membership to a wine-tasting club is a good distraction,1
detergents have a strong scent .,non-phosphate detergents have a strong odor,1
a stamp produces an impression on the paper .,a rubber stamp produces a rubber imprint,1
botany is used to identify plants that are poisonous .,a potted plant can not be used to make poison,0
a desert plant is a plant .,a desert plant should not be confused with a grass plant,0
weightlifting has a positive effect .,olympic weightlifting (dynamite) has been shown to be effective,1
a household should be able to meet its basic needs .,a multi-family home should be able meet the basic needs of all members,1
a gun are used for hunting .,a semi-automatic handgun can be used for personal protection,0
guns are used in self defense .,a gun with a telescopic sight can be used in an emergency,0
an weaver should be able to make a decent living .,a weaver of carpets should be able make a lot of money,1
a water heater is connected to a water source .,an electric hot water heater is connected to a water pipe,1
a painting is sold at auction .,a painting of a sailboat can be sold at an art auction,1
energy is used to move .,geothermal energy can be used to generate power,0
a camera is used to take pictures of the world .,a camera with a zoom lens is used to photograph a landscape,0
a bear is killed by shooting it with an arrow .,a bear is not killed by a bow,0
a perfume should smell good on you .,a jasmine perfume should smell nice on a woman,1
botany is used to identify plants that are poisonous to humans .,venus flytraps can be used to detect poison ivy,0
paper clips are used to hold paper in place .,a round paper clip can be used to hold a sheet of paper,1
hair has a tendency to fall out .,a frizzy hair has a chance of falling out,1
paper clips are used to hold paper in place .,a paper clip made from brass can be used to hold a piece of paper,1
a plane should be able to fly .,"a large passenger plane should be able take off, land, and take off again",1
telephones are used to communicate with the outside world .,a landline phone can be used to send and receive text messages,0
telephones are used to communicate with the outside world .,a mobile phone can be used to send and receive text messages,1
a will is used to transfer property to a beneficiary .,a last will and testament can be used to establish a trust,0
sea ice is thin enough to break up .,sea ice that floats can be thin enough to shatter,1
hotel rooms are equipped with a microwave .,hotel rooms are equipped with a refrigerator,0
an exhaust fan is connected to the exhaust .,an exhaust fan made from stainless steel is connected to an exhaust pipe,1
an electrical connection is used to connect a device to an external power source .,a dimmer switch can be used to control the brightness of a light bulb,0
a cake has one or two layers .,a birthday cake has a layer of frosting,0
an electrical connection is used to connect a device to an external power source .,an electrical connection is used to communicate with a computer,0
a riverbank is a place .,a riverbank by the meadow is an area,1
