sentence1,sentence2,label
license plates are issued to vehicles .,personalized license plates are issued to a person,1
a mosque should have a minaret .,a masjid al-haram should have a door,0
drummers are taught to play with their hands .,xylophone players are taught to play using the fingers,0
an weaver should be able to make a decent living .,a lark should be able to find a mate,0
an iron deficiency is treated with iron supplementation .,an iron-deficient patient can be treated with folic acid,1
norwegians should be able to get a job .,norwegians should be able buy a house,1
wild turkeys is killed for their feathers .,domestic turkeys are killed for human consumption,0
a trembling is an involuntary spasm of the muscles .,a bone-rattling tremor is an involuntary spasm of the bones,1
"Most mammals have a central nervous system , which controls body movements .",small mammals have an olfactory bulb,0
a telephone booths are designed to be used by a single person .,telephone booths are designed to be easily moved from one location to another,0
"a conflict are resolved through diplomacy , negotiation , or military action .",a conflict is resolved through the use of force,0
a cushion must be thick enough to support the weight .,"hypoallergenic, animal-hair filled cushions must not be thick or heavy",0
a will is used to transfer property to a beneficiary .,a life insurance policy is used to transfer life insurance benefits,0
a chest pain has a physical cause .,a chest pain has an emotional or psychological origin,1
a scene should consist of at least two characters .,a bedroom should consist of at least one bed,0
an asset has a value .,an asset has a risk,1
a scene has only one actor .,a forest scene has many players,1
periodontal disease produces inflammation of the gum .,lupus erythematosus produce an inflammatory response,0
"cudgels is made of metal , wood , or other materials .",cudgels should not be made of any material that can be easily damaged,0
a detergent is applied to the skin to cleanse .,laundry detergents should not be applied to the skin,1
atoms have a mass .,oxygens have a charge,1
a gun are used for hunting .,a gun is used for personal protection,1
a hippopotamus is found in the wild .,a wildebeest can be found in South Africa,0
a painting should be about the artist's vision .,a painting by a child should be about the child's experience,1
periodontal disease produces inflammation of the gums .,lupus erythematosus produce swelling of the joints,0
a bedroom should consist of a bed .,a sleeping room should not consist of only one bed,1
a jet should be able to land on the runway .,a jet airplane should be able for takeoff,0
"Pressure cookers is tricky to use , especially if you're new to them .",stainless steel pressure cookers are not tricky to work with,1
a juniper is found growing in a forest .,a juniper is found in a garden,1
a water heater is connected to a water source .,a water heater is connected to a heating element,1
"a bedroom should consist of a bed , dresser , desk .",a guest room should consist of a bathroom and kitchen,0
a porpoise is found at sea .,a small porpoise is found at the shore,0
water heaters are used to heat water to a certain temperature .,hot water heaters can not be used to boil water,1
a ladle is used to fill a cup .,a small ladle is used to scoop food into a bowl,1
a wedding has a couple's name .,an elopement has the couple's name,0
entertainment is a distraction .,entertainment can be a source of inspiration,1
a ringtail has a tail .,a ringtail has a mouth,1
"a conflict is resolved through negotiation , mediation or arbitration .",a conflict is resolved through a court of law,0
"aloe is used to treat mild to moderate skin conditions , including acne .",aloe vera can be used to treat rheumatoid arthritis,1
concert halls should be equipped with a soundproofing system .,a gymnasium should be equipped with an alarm system,0
a lactose intolerance is caused by an intolerance to lactose .,a dairy allergy is caused by an allergy to cow's milk proteins,0
"a scalpel is used to make a small incision , which may then be closed .",a scalpel used for surgery should not be used to open a wound,1
pecans is removed from their shells with a knife .,pecans can be removed from the skin,0
a herbivores have to eat plants .,a donkeys have to walk on the ground,0
an abbey is a place where people come to worship God .,a church is a place where people go to worship,0
a middle finger is a hand gesture used to express displeasure .,a clenched fist is a hand gesture used to show anger,0
mesh skimmers have been used to steal credit card information from retailers .,wire skimmers have been used to siphon cash from ATMs,1
a daybooks can consist of several pages .,daybooks consist of a header and footer,0
a tennis ball produces a sound .,a tennis ball produces a light,1
an abbey should have an abbess .,a priory should have a priest,0
cameras are used to take photos of people .,cameras are not used to spy on people,0
assets are valued based on their current market value .,a house is valued based on the cost of construction,1
aloe is a natural moisturizer .,aloe is a natural antiseptic,1
a trembling is an involuntary spasm of muscles .,a trembling is an involuntary spasm of the nerves,1
Cameras should be able to see .,a video camera should be able to record audio,1
botany is used to identify plants .,a venus flytrap can be used to detect insects,0
a weed is an invasive species if it displaces native plant species .,a weed is not a disease,0
a wedding have a reception hall .,an outdoor wedding have a picnic area,1
an advertisement is placed on a website .,an advertisement for blue jeans is placed on a clothing store,1
an apple must be ripe to be eaten .,an apple must be ripe to be sold,0
a helmet has a visor .,a safety helmet has a chin bar,1
"a monogram is composed of letters , numbers , or a combination thereof .",a monogram is composed of two or more words,0
air pollution are caused by burning fossil fuels in power plants .,"global air pollution is caused by cars, trucks and planes",1
screws are used to fasten two pieces of metal together .,a phillips-head screw can be used to hold a piece of wood together,1
a strawberry is eaten raw or cooked .,strawberry flowers should not be eaten by humans,0
a sweet potato is cooked until it's soft .,a yam can be cooked until tender,0
salad spinner are used to remove excess water from salads .,a salad spinner can be used to remove excess oil from a salad,1
an administration has a duty to protect its citizens from harm .,a clinton administration has a right to defend itself,1
Crucifixions have always been part of the Christian faith .,crucifixions have been part of the pagan religions,1
a hair clips is found in the hair salon .,a hair clips can be found in the barber shop,1
ice cream should be stored in the refrigerator .,ice cream should be stored in the freezer,1
an weaver is a person who works with wool .,a weaver can be a person working with cotton,1
a spare tire is found in a car's spare wheel well .,a spare tire can be found in the trunk of a vehicle,1
buffoons are people who don't know any better .,buffoons are not people who don't care,1
a camera produces an image of a scene .,a camera produces a video stream,1
"a small computer can consist of a CPU , RAM , hard drive , etc .",a small computer consist of a keyboard and a monitor,1
"a ill patient has a fever , headache .","an ill patient has nausea, vomiting",1
a scalpel is used to cut the skin .,a scalpel can be used to remove the hair,1
water heaters is used to heat water in the kitchen .,water heaters can be used to cool water,1
an x - ray is used to diagnose or treat conditions .,a stingray can be used to determine if a wound is infected,0
coincidences is attributed to chance .,coincidences can be attributed to the actions of others,1
an ointment is applied to a wound to prevent infection .,a lip balm can be applied to a cut,1
a bugle has been used to signal an attack .,a bugle have been used to call for the surrender of the enemy,1
an orange should be kept in the refrigerator .,bergamots should be kept in a cool place,0
a decanter are used to fill a glass with water .,a decanter is used to serve wine,1
"In a medical clinic , you will find a doctor .",you will find a doctor in a hospital,0
hair has a tendency to fall out .,an eyelash has a natural tendency to curl,0
a hair gel is purchased in a tube .,a hair gel can be purchased in a jar,1
a lightning has a diameter .,a thunderbolts has a radius,0
an herbivore is able to consume a plant .,an herbivore should be able to hunt,1
an exhaust fan has a fan blade .,an exhaust fan has an exhaust nozzle,1
pecans is found in their natural state in the wild .,pecans can be found in most grocery stores,1
a gun is used to commit a crime .,firearms are not used to commit crimes,1
a plane should be able to fly .,a plane should be able to stop,1
a alligator is a reptile .,a large alligator is not a lizard,1
a will is filed with the county probate court .,a devise is filed with the county recorder,1
botany is used to identify plants that are poisonous to humans .,pomology is used to identify plant toxins,0
a puffin should be able to fly .,a puffin should be able to swim,1
a ladle are used to scoop .,a ladle is used to stir the sauce,1
a stamp produces an impression .,a stamp produces a copy,1
an ill patient are referred to a hospital .,an ill patient is referred to a doctor,1
bulldozers are used to clear land to make way for new housing .,bulldozers are used to build roads,1
a gun is designed to be used .,a gun should not be designed to be abused,0
assets are valued at their fair market values .,assets are valued at the date of acquisition,1
"remote controls has buttons , switches , or dials .",remote controls have knobs,0
a small computer is a microcomputer .,a palm pilot should not be considered a computer,1
horses are bred to be ridden .,horses are bred for racing,1
experimental evidence is used to support or refute theories .,an inferred from expression pattern can be used to prove or disprove a hypothesis,0
a ill patient is placed on a ventilator to help with breathing .,an ill patient is placed on an operating table,1
a plant hormone is present in the plant tissue .,a plant hormone can be present in the atmosphere,1
ill patients must be admitted to the hospital .,ill patients must be admitted to a nursing facility,0
a ground beetle is found on the ground .,ground beetles can be found on tree trunks and branches,1
technologies are designed to be used for a specific purpose .,technologies are designed so that the same technology can be used in many different ways,1
a zebra fish is found swimming in a tank .,a zebra fish can be found in a pond,1
an electrocardiogram must be taken to confirm a heart attack .,an electrocardiogram must be taken to rule out a heart murmur,0
amino acids produce structural changes in proteins .,amino acids produce reactive oxygen species,0
hoes have been used to plow fields .,hoes have been used to dig ditches,1
license plates are issued to vehicles .,license plates are issued to a person,1
a mosque should have a minaret .,a mosque should have a dome,1
drummers are taught to play with their hands .,drummers are taught to use the drumsticks,1
a roof can only be installed on a structure .,a roof can be installed on a vehicle,1
an iron deficiency is treated with iron supplementation .,an iron deficiency is treated with folic acid supplementation,1
norwegians should be able to get a job .,norwegians should be able buy a house,0
wild turkeys is killed for their feathers .,wild turkeys are killed for the meat,1
a trembling is an involuntary spasm of the muscles .,a trembling is an involuntary spasm of the brain,1
"Most mammals have a central nervous system , which controls body movements .",squirrels have a brain,1
a telephone booths are designed to be used by a single person .,telephone booths are designed to be easily moved from one location to another,0
a hair gel is meant to be applied to the hair .,hair gels are not meant for use on the scalp,0
"a conflict are resolved through diplomacy , negotiation , or military action .",a war is resolved through a peace treaty,0
a cushion must be thick enough to support the weight .,a pincushion must not be thick or heavy,1
a will is used to transfer property to a beneficiary .,a devises can be used to create a trust,0
periodontal disease produces inflammation of the gum .,gingivitis produce gingival inflammation,0
"cudgels is made of metal , wood , or other materials .",cudgels should not be made of any material that can be easily damaged,1
a detergent is applied to the skin to cleanse .,a laundry detergent is not applied to the skin,1
a bobsleigh is driven by a single driver .,a bobsleigh should not be driven by one person alone,1
atoms have a mass .,atoms have a charge,1
a gun are used for hunting .,a gun is used for personal protection,1
a hippopotamus is found in the wild .,a hippopotamus can be found in an aquarium,1
a painting should be about the artist's vision .,a cityscape should be about the cityscape,0
periodontal disease produces inflammation of the gums .,pyorrhea produces gingivitis,0
a bedroom should consist of a bed .,a dormitories should not consist of only beds,1
a jet should be able to land on the runway .,a jet should be able to take off,0
"Pressure cookers is tricky to use , especially if you're new to them .",pressure cookers are not tricky to operate,1
a walleye is caught by anglers who cast their line from the shore .,a blue pike is caught by anglers from the beach,0
a juniper is found growing in a forest .,a juniper is found in a garden,1
a water heater is connected to a water source .,a water heater is connected to an air source,1
"a bedroom should consist of a bed , dresser , desk .","a guestroom should consist of a bed, dresser, desk",0
a porpoise is found at sea .,a porpoise can be found at a beach,0
water heaters are used to heat water to a certain temperature .,water heaters can be used to cool down water,1
a ladle is used to fill a cup .,a dipper is used to fill a glass,0
a wedding has a couple's name .,an eloping has a couple,0
a shoebox is a container .,a shoebox is an object,0
a ringtail has a tail .,ringtails have a pair of wings,1
"a conflict is resolved through negotiation , mediation or arbitration .",a tug-of-war is resolved through an agreement,1
concert halls should be equipped with a soundproofing system .,concert halls should be equipped with a fire alarm system,1
a water parks have a large pool .,water parks have a large water slide,1
a lactose intolerance is caused by an intolerance to lactose .,a lactose intolerance can be caused by a lack of lactase,1
"a scalpel is used to make a small incision , which may then be closed .",a scalpel should not be used to cut the skin,1
pecans is removed from their shells with a knife .,pecans can be removed from the skin,0
a herbivores have to eat plants .,herbivores have to hunt for food,0
an abbey is a place where people come to worship God .,an abbey is a place of learning,1
mesh skimmers have been used to steal credit card information from retailers .,mesh skimmers have been used to install malware on computers,1
a daybooks can consist of several pages .,daybooks consist of a header and footer,0
a tennis ball produces a sound .,a tennis ball produces a light,1
an abbey should have an abbess .,a convents should have a priest and a nun,0
cameras are used to take photos of people .,cameras are not used to spy on people,0
assets are valued based on their current market value .,assets are valued based on the estimated future cash flows,1
a cookbook is purchased .,a cookbook can be added to the library,1
aloe is a natural moisturizer .,aloe can be used as a natural deodorant,1
a trembling is an involuntary spasm of muscles .,a trembling is an involuntary spasm of the nerves,1
Cameras should be able to see .,cameras should be able to record,1
a weed is an invasive species if it displaces native plant species .,a weed is not a disease,0
a wedding have a reception hall .,an eloping have a celebration hall,0
an advertisement is placed on a website .,an advertisement is placed on a social media platform,1
a helmet has a visor .,helmets have a liner,1
a salad spinner is a device used to spin salad leaves .,a salad spinner is a device used to stir salad ingredients,0
"a monogram is composed of letters , numbers , or a combination thereof .",a monogram is composed of two or more words,0
air pollution are caused by burning fossil fuels in power plants .,air pollution is caused by vehicle exhausts,1
screws are used to fasten two pieces of metal together .,screws can be used to hold a piece of wood together,1
a sweet potato is cooked until it's soft .,a yam should not be cooked too long or it will become mushy,1
salad spinner are used to remove excess water from salads .,a salad spinner is used to remove excess oil from a salad,1
an administration has a duty to protect its citizens from harm .,a judiciary has an obligation to protect the rights of the accused,0
Crucifixions have always been part of the Christian faith .,crucifixions have been part of the pagan religions,1
a hair clips is found in the hair salon .,a hair clips can be found in a store,1
ice cream should be stored in the refrigerator .,neapolitan ice cream should be stored in an airtight container at room temperature,1
"backhoes is used to dig trenches , but it is also possible to use them to remove debris .",front-end loaders are used to load and unload trucks,0
a hippopotamus is found in the wild .,"a hippo is found in Africa, Asia, and the Americas",0
a juniper is found growing in a forest .,japanese juniper trees can be found in the mountains,1
ice creams are sweetened with sugar .,"chocolate, vanilla and strawberry ice creams can be sweetened with fruit extracts",1
a riverbank is a place .,a riverbank by the beach can be a good place,0
bumpers are made of metal .,a bumpers can be made of other materials such as plastic,1
a gun is used to commit a crime .,a gun that shoots rubber bullets can be used to shoot people,0
a riverbank is a place .,a small riverbank can be a place to rest,0
a chest pain has a physical cause .,a muscle spasm does not have to be a physical problem,0
guns are used in self defense .,a semi-automatic handgun can be used in a defensive shooting,0
bumpers are made of metal .,plastic bumpers are made of polycarbonate plastic,1
a hedge shears is used to cut a hedge .,a hedge shears with curved blades can be used to cut a fence,1
a router is connected to a switch .,a cable modem is connected to a modem,0
skunks produce an odor .,"porcupines produce a foul, musky substance",0
a puffin should be able to fly .,a large black puffin should be able catch fish,1
insulations are made of a material .,styrofoam is made of cellulose acetate,0
cameras are used to take photos of people .,cameras can be used to record video,1
coasters are made of wood .,a placemat can be made of wood or plastic,0
license plates are issued to vehicles .,a personalized license plate can be issued to an individual,1
natural selection is a good thing .,a multicellular organism can be better adapted to a particular environment than a single cell organism,0
"remote controls has buttons , switches , or dials .",a remote control for a dvd player has a power switch,0
constipation is treated with laxatives .,constipated constipated constipated constipated constipation can be treated with a laxative,0
mesh skimmers have been used to steal credit card information from retailers .,skimmers have been used to steal credit cards from Target stores,0
a newspaper is willing to publish a story .,a local newspaper is willing to print a news story,0
a grizzly bear should be able to stand up .,a brown bear should be able to lie down,0
newborn babies have a hard time sleeping .,newborn babies have a high risk of SIDS,0
pressure cookers is set to high .,a pressure cooker with an aluminum pot can be set to a high pressure,0
a scene should consist of at least two characters .,a movie scene should consist of two or more characters,0
an will is filed with the court by an executor .,a will for real estate can be filed with a real estate agent,1
pressure cookers is used in the kitchen .,electric pressure cookers can be used in the oven,0
managements are looking for ways to reduce costs .,product managers are looking for new revenue streams,1
pecans is found in their natural state in the wild .,a pecan tree with ripe pecans is found in the United States,0
a router is connected to a switch .,a router can be connected to a firewall,1
a router is connected to a switch .,a wifi router can be connected to a network switch,0
wild pigs are a nuisance .,boars can be a real nuisance,1
"a lactose intolerance produces diarrhea , gas , bloating .",a lactose intolerance in dogs produces excessive salivation,1
hoes are used to plow fields or clear snow .,a hoe with a bent handle should not be used to dig trenches,0
dandruff is found in the scalp .,dandruff can be found in the hair shaft,1
telephones are used to communicate with the outside world .,a landline phone can be used to send and receive text messages,0
bumpers are made of metal .,rubber bumpers are made of polyurethane foam,1
a red banana is a banana .,a bunch of bananas can be referred to as a bunch,0
an ova is fertilized .,a human ovum can be implanted in a woman,1
music groups are able to get their music played on the radio .,a rock band is able to get a song played,0
a cake has one or two layers .,a wedding cake has two layers of frosting,0
wall fans have a fan blade attached to them .,solar-powered wall fans have fans attached to the blades,1
periodontal disease produces inflammation of the gums .,lupus erythematosus produce swelling of the joints,0
a puffin should be able to fly .,a small puffin should be able to fly well,0
"a decanter is filled with wine , beer , or spirits .","a decanter of orange juice can be filled with orange juice, beer, or wine",1
a ladle is used to fill a cup .,a ladle is used to fill a coffee cup,0
a puffin should be able to fly .,a large puffin should be able fly at least 20 metres,0
lorries are used to transport goods from one point to another .,a big lorry is used to move goods from a factory to a warehouse,0
periodontal disease produces inflammation of the gum .,gingivitis produces swelling of the gums,0
a chest pain should be a warning .,pain from a case of indigestion should be taken seriously,1
paramecia is found in the wild .,parameciums can be found in the wild in the U,0
a water park is a great place to spend an afternoon .,a water park can be a great place for a family reunion,0
a gun is used to commit a crime .,a gun with no bullets is not used to kill anyone,0
wild turkeys is killed for their feathers .,female turkeys can be killed for the meat,1
a wall fans are used to cool a room by circulating warm air .,a window fan is used to blow warm air across a room,0
an arrangement is made with the landlord to pay rent .,a floral arrangement is made to decorate the living room,0
a lactose intolerance is a problem .,a lactose intolerant is a person who can't digest lactose,0
a tennis ball produces a sound .,a tennis ball that bounces well produces a high pitch,0
a stimulant is prescribed to treat ADHD in children .,amphetamines should not be prescribed to children under the age of 12 years,1
botany is used to identify plants that are poisonous .,a marigold can be used to determine whether a plant is poisonous,0
water heaters are used to heat water to a certain temperature .,a gas water heater is used to warm water,0
a hedge shears are used to trim .,a hedge shears can be used to remove excess hair,1
hotel rooms are equipped with a microwave .,hotel rooms are equipped with a coffee machine,1
a puffin should be able to fly .,a young puffin should be able take to the air,0
a tennis ball produces a sound .,a tennis ball that is very soft produces a soft sound,0
an ice creams are made from a mixture .,a strawberry ice cream is made from a combination of strawberries and cream,0
horses are bred to be ridden .,a stallion can be bred to do other things as well,1
a ringtail has a tail .,ringtails have a pair of wings,1
an ice creams are made from a mixture .,chocolate ice creams can be made from cocoa powder,0
an electrocardiogram must be taken to confirm a heart attack .,an electrocardiogram of a normal patient must be taken to determine if the heart is beating normally,1
a puffin should be able to fly .,a small puffin should be able to take to the air,0
an apple must be ripe to be eaten .,a red apple must be ripe for eating,0
pressure cookers is used in the kitchen .,an enameled cast iron pressure cooker is used in the restaurant industry,0
"a decanter is filled with wine , beer , or spirits .","a decanter of brandy can be filled with brandy, wine, or beer",0
paper clips are used to hold paper in place .,a common paper clip can be used to hold a pen or pencil,1
a ladle is used to fill a cup .,a ladle of milk can be used to pour a cup of milk,1
wall fans have a fan blade attached to them .,an oscillating fans have a blade that rotates,0
a lactose intolerance is a problem .,a lactose intolerance that causes diarrhea is not a good thing,0
wild pigs are a nuisance .,a wild boar can be a source of food,1
wild pigs are a nuisance .,boars can be a danger to livestock,0
skunks should be left alone .,black and white skunks should be left to fend for themselves,0
an electrocardiogram must be taken to confirm a heart attack .,an electrocardiogram of a sick man must be taken to see if the heart is beating normally,1
an ice creams are made from a mixture .,vanilla ice creams can be made from different types of vanilla,0
bumpers are made of metal .,bumpers for cars can be made of stainless steel or aluminum,1
hair has a tendency to fall out .,black hair has been known to fall off,0
a red banana is a banana .,unripe red bananas can be peeled and eaten,0
constipation is treated with laxatives .,constipation during pregnancy can be treated with diet and exercise,1
inflammatory diseases are caused by the body's own immune system attacking itself .,rheumatoid arthritis can be caused by an overactive immune response,0
a grizzly bear should be able to stand up .,a polar bear should be able to stand upright,0
spaceships have some sort of power .,rocket ships have a limited amount of fuel,0
a ringtail has a tail .,a ringtail possums has a long tongue,0
a puffin should be able to fly .,young puffins should be able to swim,1
telephones are used to communicate with the outside world .,a cellular telephone can be used to send and receive text messages,0
natural selection is a good thing .,natural selection can be a problem,1
paramecia is found in the wild .,amoeba can be found in freshwater and marine environments,0
hoes have been used to plow fields .,long-handled hoes have been used to dig ditches,1
"cudgels is made of metal , wood , or other materials .",a metal cudgel can be made of brass or other metal,1
an advertisement is placed on a website .,an advertisement for sunglasses can be placed on an online retailer's website,0
a scalpel produces a cut .,a miller's anesthetizing scalpel produces the cut,0
coconut milk has a slight coconut flavor .,reduced-fat coconut milk has less saturated fat,0
a chest pain should be a warning .,chest pains caused by indigestion should be treated immediately,0
pressure cookers is set to high .,a pressure cooker that cooks rice can be set to high heat,0
cold storage is used to preserve food for later use .,cold storage can be used to extend the shelf life of food,0
"hair gels produce a smooth , shiny surface .",good hair gels produce a matte finish,1
guns is used to commit a crime .,a semi-automatic rifle can be used to commit a violent crime,0
dvd players are connected to a television via HDMI .,a dvd player with remote control can be connected to an HDTV via HDMI,0
"bay leaves are used to flavor soups , stews , or sauces .",a fresh bay leaf can be used to garnish salads,1
an ova is fertilized .,a fertilized ova is a zygote,0
"backhoes is used to dig trenches , but it is also possible to use them to remove debris .",front-end loaders can be used to remove sand,0
a riverbank is a place .,a small riverbank is an area,0
bulldozers are used to clear land to make way for new housing .,used bulldozers are used to demolish buildings,1
a hedge shears are used to trim .,a hedge shears with no teeth should not be used to cut grass,0
a riverbank is a place .,a riverbank can be a space,0
a chest pain has a physical cause .,a muscle spasm does not have to be a physical problem,1
guns are used in self defense .,guns should not be used in a threatening manner,0
bumpers are made of metal .,a black bumper can be made of stainless steel or aluminum,1
a hedge shears is used to cut a hedge .,a hedge shears for small hedges can be used to trim a small hedge,0
a router is connected to a switch .,a gigabit router can be connected to an ethernet switch,0
skunks produce an odor .,a kinkajou produce a high pitched squeal,0
a puffin should be able to fly .,a large black puffin should be able catch fish,1
insulations are made of a material .,an insulating element can be made of a composite,0
bumpers are made of metal .,bumpers for cars are made of metal and are made to be strong,0
coasters are made of wood .,a placemat can be made of wood or plastic,0
cakes has several layers .,a sponge cake has a base,0
license plates are issued to vehicles .,a personalized license plate can be issued to an individual,1
natural selection is a good thing .,multicellular organisms are more complex,0
"remote controls has buttons , switches , or dials .",a remote control for a dvd player has a power switch,0
constipation is treated with laxatives .,constipation caused by stress can be treated with exercise and relaxation techniques,1
mesh skimmers have been used to steal credit card information from retailers .,wire mesh skimmers have been used to siphon cash from ATMs,1
a newspaper is willing to publish a story .,an online newspaper can be willing to print a news story,0
a grizzly bear should be able to stand up .,a brown bear should be able to lie down,1
newborn babies have a hard time sleeping .,newborn babies have a lot of energy,0
mud flaps is affixed to a vehicle to provide additional protection from road debris .,a mud flaps for a truck is affixed to the back of the truck,0
pressure cookers have a maximum temperature range .,aluminum pressure cookers have a minimum and maximum temperature,1
an will is filed with the court by an executor .,a will for real estate can be filed with a real estate agent,1
pressure cookers is used in the kitchen .,an enameled cast iron pressure cooker can be used in soups and stews,0
managements are looking for ways to reduce costs .,human resources managers are looking for new ways to use technology,1
pecans have a hard shell .,young pecan trees have a very hard outer bark,0
a router is connected to a switch .,a router can be connected to a firewall,1
a router is connected to a switch .,a wireless router is connected to a network switch,0
pecans have a nutty aroma .,"a pecan tree with ripe pecans have a sweet, nutty smell",0
wild pigs are a nuisance .,wild boars are a problem,0
"a lactose intolerance produces diarrhea , gas , bloating .","a lactose intolerant to milk and cheese produces gas, bloating and diarrhea",0
hoes are used to plow fields or clear snow .,a hoe with a bent handle should not be used to dig trenches,0
dandruff is found in the scalp .,dandruff can be found in the hair shaft,1
telephones are used to communicate with the outside world .,a landline phone can be used to send and receive text messages,0
bumpers are made of metal .,"bumpers for cars are made of steel, and for motorcycles, aluminum",0
a red banana is a banana .,unripe red bananas can be called bananas,0
an ova is fertilized .,a human ovum can be implanted in a woman,0
music groups are able to get their music played on the radio .,a classic rock band is able to sell out a stadium,1
"a backhoe is fastened to a truck , which can then be used to dig trenches .",a large backhoe can be fastened to the front of a bulldozer,1
"a backhoe is fastened to a truck , which can then be used to dig trenches .",a small backhoe is fastened to a trailer,1
"scenes is set in the past , present , future .",a scene of a basketball game can be set to play in the background,0
stocks is expected to go up .,a stock that holds its value is expected to rise in value,0
periodontal disease produces inflammation of the gum .,gingivitis produces swelling of the gums,0
stocks is expected to go up .,a stock that holds its value can be expected to appreciate in value,0
"Remote controls is used to adjust the volume , play , pause , next track , previous track , skip forward / back",a universal remote control can be used to control the music player,0
"Remote controls is used to adjust the volume , play , pause , next track , previous track , skip forward / back",a universal remote control can be used to control the media player,0
a chest pain should be a warning .,a chest pain from a heart attack should be a warning sign,0
a wall fans are used to cool a room by circulating warm air .,a wall mounted fan can be used to remove heat from a room,1
hippopotamus are herbivores that eat grasses .,river hippopotamus are herbivores and feed on grass,0
a snow globes are made of glass .,a water snow globes can be made of water glass,1
a gun is used to commit a crime .,a gun with no bullets is not used to kill anyone,0
Coconut milk is found in most grocery stores .,coconut milk is found in health food stores and natural food stores,0
Coconut milk is found in most grocery stores .,a light coconut milk can be found in most health food stores,1
wild turkeys is killed for their feathers .,female turkeys can be killed for the meat,1
a wall fans are used to cool a room by circulating warm air .,a stand-up fan can be used to circulate warm air in a room,0
a lactose intolerance is a problem .,an intolerant to lactose can be a good thing,1
a wild pig is a wild animal .,piglets can be kept as pets,1
a mosque should have a minaret .,a masjid al-haram (mecca) should have a door,1
a wild pig is a wild animal .,a wild boar can be raised in captivity,1
a stimulant is prescribed to treat ADHD in children .,an amphetamine is prescribed to treat ADHD in children and adolescents,0
lorries should only be used to transport people or goods .,lorries should be used to transport heavy goods only,1
a stimulant is prescribed to treat ADHD in children .,amphetamines are prescribed to treat attention deficit hyperactivity disorder in adults,0
an weaver is a person who works with wool .,a hand loom weaver is a person who works on a loom,0
lorries should only be used to transport people or goods .,blue lorries should be used to carry people and goods,0
alligators are found in Florida .,a small alligator can be found in the Everglades in Florida,0
a spare tire is found in a car's spare wheel well .,a spare tire with a flat can be found in the wheel well of a car,0
a painting is sold at auction .,an oil painting can be sold at an art gallery,1
a camera produces an image of a scene .,point-and-shoot digital cameras produces a video,1
"apples are used to make cider , which is an alcoholic beverage .",green apples should not be used to produce alcoholic beverages,1
alligators are found in Florida .,an alligator in the everglades can be found in the wild,0
"a small computer can consist of a CPU , RAM , hard drive , etc .",a desktop computer consist of a monitor and keyboard,1
